Side,Arc,Source,Target,Rot,AdaptFrac,ArcOK,nEval,nEvalPos,nArc,nArcPos,Method,Uses,K,BAC,Precision,Recall
Left,contig,HTL,PTT,0,0.3,1,1136,85,682,28,QOTu-PCA,arc segments,64.0,0.4244081267140538,0.04046242774566474,0.16470588235294117
Left,contig,HTL,PTT,0,0.3,1,1136,85,682,28,QOTc-HS4,arc labels,,0.49114009066995024,0.0670391061452514,0.1411764705882353
Left,contig,HTL,PTT,0,0.3,1,1136,85,682,28,QOTc-HSsrc,arc labels,,0.46951362847708067,0.04678362573099415,0.09411764705882353
Left,contig,HTL,PTT,0,0.3,1,1136,85,682,28,QOTc-PCA,arc labels,64.0,0.4753120277606761,0.058577405857740586,0.16470588235294117
Left,contig,HTL,PTT,0,0.3,1,1136,85,682,28,SDM-HS4,arc labels,,0.4997929143113002,0.07468879668049792,0.21176470588235294
Left,contig,HTL,PTT,0,0.3,1,1136,85,682,28,SDM-HSsrc,arc labels,,0.4912744165220798,0.07023411371237458,0.24705882352941178
Left,contig,HTL,PTT,0,0.3,1,1136,85,682,28,SDM-PCA,arc labels,32.0,0.47643700677226175,0.06,0.17647058823529413
Left,contig,HTL,PTT,0,0.5,1,1136,85,1124,54,NoAdapt,nothing,,0.47955448592377015,0.06528189910979229,0.25882352941176473
Left,contig,HTL,PTT,0,0.5,1,1136,85,1124,54,TargetOnly,arc labels,,0.5066771142329434,0.07728337236533958,0.38823529411764707
Left,contig,HTL,PTT,0,0.5,1,1136,85,1124,54,Source+Target,arc labels,,0.4780769015503442,0.05228758169934641,0.09411764705882353
Left,contig,HTL,PTT,0,0.5,1,1136,85,1124,54,COT,arc labels,,0.49094419880226114,0.07282913165266107,0.611764705882353
Left,contig,HTL,PTT,0,0.5,1,1136,85,1124,54,none-HS4,arc labels,,0.4714277718699278,0.0650759219088937,0.35294117647058826
Left,contig,HTL,PTT,0,0.5,1,1136,85,1124,54,none-HSsrc,nothing,,0.45502882408910283,0.05084745762711865,0.17647058823529413
Left,contig,HTL,PTT,0,0.5,1,1136,85,1124,54,none-PCA,arc segments,16.0,0.46360329098337716,0.0647985989492119,0.43529411764705883
Left,contig,HTL,PTT,0,0.5,1,1136,85,1124,54,QOTu-HS4,arc labels,,0.4611686349135278,0.049586776859504134,0.1411764705882353
Left,contig,HTL,PTT,0,0.5,1,1136,85,1124,54,QOTu-HSsrc,arc segments,,0.4482789500195892,0.039301310043668124,0.10588235294117647
Left,contig,HTL,PTT,0,0.5,1,1136,85,1124,54,QOTu-PCA,arc segments,16.0,0.47617954888901326,0.0625,0.2235294117647059
Left,contig,HTL,PTT,0,0.5,1,1136,85,1124,54,QOTc-HS4,arc labels,,0.4635920971623664,0.05415162454873646,0.17647058823529413
Left,contig,HTL,PTT,0,0.5,1,1136,85,1124,54,QOTc-HSsrc,arc labels,,0.48469804667823363,0.06504065040650407,0.18823529411764706
Left,contig,HTL,PTT,0,0.5,1,1136,85,1124,54,QOTc-PCA,arc labels,64.0,0.45031622544355515,0.05217391304347826,0.21176470588235294
Left,contig,HTL,PTT,0,0.5,1,1136,85,1124,54,SDM-HS4,arc labels,,0.49317736609391616,0.0711864406779661,0.24705882352941178
Left,contig,HTL,PTT,0,0.5,1,1136,85,1124,54,SDM-HSsrc,arc labels,,0.49715676946325627,0.07333333333333333,0.25882352941176473
Left,contig,HTL,PTT,0,0.5,1,1136,85,1124,54,SDM-PCA,arc labels,32.0,0.5524822298091454,0.09312638580931264,0.49411764705882355
Left,contig,HTL,PTT,1,0.05,1,1136,76,114,9,NoAdapt,nothing,,0.49285004965243295,0.06395348837209303,0.2894736842105263
Left,contig,HTL,PTT,1,0.05,1,1136,76,114,9,TargetOnly,arc labels,,0.581454816285998,0.09072164948453608,0.5789473684210527
Left,contig,HTL,PTT,1,0.05,1,1136,76,114,9,Source+Target,arc labels,,0.4624875868917577,0.043668122270742356,0.13157894736842105
Left,contig,HTL,PTT,1,0.05,1,1136,76,114,9,COT,arc labels,,0.4981380337636544,0.06642728904847396,0.4868421052631579
Left,contig,HTL,PTT,1,0.05,1,1136,76,114,9,none-HS4,arc labels,,0.4753475670307845,0.058394160583941604,0.3157894736842105
Left,contig,HTL,PTT,1,0.05,1,1136,76,114,9,none-HSsrc,nothing,,0.4689672293942403,0.05172413793103448,0.19736842105263158
Left,contig,HTL,PTT,1,0.05,1,1136,76,114,9,none-PCA,arc segments,64.0,0.44034260178748763,0.05137614678899083,0.3684210526315789
Left,contig,HTL,PTT,1,0.05,1,1136,76,114,9,QOTu-HS4,arc labels,,0.4568023833167825,0.04296875,0.14473684210526316
Left,contig,HTL,PTT,1,0.05,1,1136,76,114,9,QOTu-HSsrc,arc segments,,0.46288480635551144,0.047619047619047616,0.17105263157894737
Left,contig,HTL,PTT,1,0.05,1,1136,76,114,9,QOTu-PCA,arc segments,16.0,0.44923038728897713,0.041811846689895474,0.15789473684210525
Left,contig,HTL,PTT,1,0.05,1,1136,76,114,9,QOTc-HS4,arc labels,,0.4723932472691162,0.04807692307692308,0.13157894736842105
Left,contig,HTL,PTT,1,0.05,1,1136,76,114,9,QOTc-HSsrc,arc labels,,0.46966236345580936,0.05707762557077625,0.32894736842105265
Left,contig,HTL,PTT,1,0.05,1,1136,76,114,9,QOTc-PCA,arc labels,32.0,0.46293445878848066,0.04526748971193416,0.14473684210526316
Left,contig,HTL,PTT,1,0.05,1,1136,76,114,9,SDM-HS4,arc labels,,0.4771598808341609,0.047619047619047616,0.10526315789473684
Left,contig,HTL,PTT,1,0.05,1,1136,76,114,9,SDM-HSsrc,arc labels,,0.551837140019861,0.08196721311475409,0.5263157894736842
Left,contig,HTL,PTT,1,0.05,1,1136,76,114,9,SDM-PCA,arc labels,32.0,0.4751241310824231,0.06043956043956044,0.4342105263157895
Left,contig,HTL,PTT,1,0.1,1,1136,76,227,11,NoAdapt,nothing,,0.49285004965243295,0.06395348837209303,0.2894736842105263
Left,contig,HTL,PTT,1,0.1,1,1136,76,227,11,TargetOnly,arc labels,,0.6064299900695134,0.10067114093959731,0.5921052631578947
Left,contig,HTL,PTT,1,0.1,1,1136,76,227,11,Source+Target,arc labels,,0.5158391261171797,0.09302325581395349,0.10526315789473684
