Side,Arc,Source,Target,Rot,AdaptFrac,ArcOK,nEval,nEvalPos,nArc,nArcPos,Method,Uses,K,BAC,Precision,Recall
Right,contig,HTL,PTT,1,0.5,1,1136,67,1112,54,none-HSsrc,nothing,,0.49808720662357064,0.05263157894736842,0.029850746268656716
Right,contig,HTL,PTT,1,0.5,1,1136,67,1112,54,none-PCA,arc segments,64.0,0.5101922566773244,0.06192660550458716,0.40298507462686567
Right,contig,HTL,PTT,1,0.5,1,1136,67,1112,54,QOTu-HS4,arc labels,,0.5064225179062591,0.06818181818181818,0.08955223880597014
Right,contig,HTL,PTT,1,0.5,1,1136,67,1112,54,QOTu-HSsrc,arc segments,,0.5059547910587381,0.06741573033707865,0.08955223880597014
Right,contig,HTL,PTT,1,0.5,1,1136,67,1112,54,QOTu-PCA,arc segments,32.0,0.4937520070368457,0.053691275167785234,0.11940298507462686
Right,contig,HTL,PTT,1,0.5,1,1136,67,1112,54,QOTc-HS4,arc labels,,0.7372352456613098,0.23391812865497075,0.5970149253731343
Right,contig,HTL,PTT,1,0.5,1,1136,67,1112,54,QOTc-HSsrc,arc labels,,0.4657512251651006,0.03164556962025317,0.07462686567164178
Right,contig,HTL,PTT,1,0.5,1,1136,67,1112,54,QOTc-PCA,arc labels,64.0,0.4006534213869847,0.024657534246575342,0.13432835820895522
Right,contig,HTL,PTT,1,0.5,1,1136,67,1112,54,SDM-HS4,arc labels,,0.5759323122460662,0.07956989247311828,0.5522388059701493
Right,contig,HTL,PTT,1,0.5,1,1136,67,1112,54,SDM-HSsrc,arc labels,,0.459098334333943,0.038910505836575876,0.14925373134328357
Right,contig,HTL,PTT,1,0.5,1,1136,67,1112,54,SDM-PCA,arc labels,64.0,0.3309691021040727,0.03494926719278467,0.4626865671641791
Right,contig,HTL,PTT,2,0.05,0,1136,67,114,0,NoAdapt,nothing,,0.503190315959957,0.06557377049180328,0.05970149253731343
Right,contig,HTL,PTT,2,0.05,0,1136,67,114,0,TargetOnly,arc labels,,,,
Right,contig,HTL,PTT,2,0.05,0,1136,67,114,0,Source+Target,arc labels,,,,
Right,contig,HTL,PTT,2,0.05,0,1136,67,114,0,COT,arc labels,,,,
Right,contig,HTL,PTT,2,0.05,0,1136,67,114,0,none-HS4,arc labels,,,,
Right,contig,HTL,PTT,2,0.05,0,1136,67,114,0,none-HSsrc,nothing,,0.49808720662357064,0.05263157894736842,0.029850746268656716
Right,contig,HTL,PTT,2,0.05,0,1136,67,114,0,none-PCA,arc segments,8.0,0.5227510715831506,0.09195402298850575,0.11940298507462686
Right,contig,HTL,PTT,2,0.05,0,1136,67,114,0,QOTu-HS4,arc labels,,,,
Right,contig,HTL,PTT,2,0.05,0,1136,67,114,0,QOTu-HSsrc,arc segments,,0.5112114823450568,0.06284153005464481,0.34328358208955223
Right,contig,HTL,PTT,2,0.05,0,1136,67,114,0,QOTu-PCA,arc segments,16.0,0.5928612317272385,0.07493188010899182,0.8208955223880597
Right,contig,HTL,PTT,2,0.05,0,1136,67,114,0,QOTc-HS4,arc labels,,,,
Right,contig,HTL,PTT,2,0.05,0,1136,67,114,0,QOTc-HSsrc,arc labels,,,,
Right,contig,HTL,PTT,2,0.05,0,1136,67,114,0,QOTc-PCA,arc labels,,,,
Right,contig,HTL,PTT,2,0.05,0,1136,67,114,0,SDM-HS4,arc labels,,,,
Right,contig,HTL,PTT,2,0.05,0,1136,67,114,0,SDM-HSsrc,arc labels,,,,
Right,contig,HTL,PTT,2,0.05,0,1136,67,114,0,SDM-PCA,arc labels,,,,
Right,contig,HTL,PTT,2,0.1,0,1136,67,227,0,NoAdapt,nothing,,0.503190315959957,0.06557377049180328,0.05970149253731343
Right,contig,HTL,PTT,2,0.1,0,1136,67,227,0,TargetOnly,arc labels,,,,
Right,contig,HTL,PTT,2,0.1,0,1136,67,227,0,Source+Target,arc labels,,,,
Right,contig,HTL,PTT,2,0.1,0,1136,67,227,0,COT,arc labels,,,,
Right,contig,HTL,PTT,2,0.1,0,1136,67,227,0,none-HS4,arc labels,,,,
Right,contig,HTL,PTT,2,0.1,0,1136,67,227,0,none-HSsrc,nothing,,0.49808720662357064,0.05263157894736842,0.029850746268656716
Right,contig,HTL,PTT,2,0.1,0,1136,67,227,0,none-PCA,arc segments,8.0,0.5227510715831506,0.09195402298850575,0.11940298507462686
Right,contig,HTL,PTT,2,0.1,0,1136,67,227,0,QOTu-HS4,arc labels,,,,
Right,contig,HTL,PTT,2,0.1,0,1136,67,227,0,QOTu-HSsrc,arc segments,,0.4901637742066096,0.05596107055961071,0.34328358208955223
Right,contig,HTL,PTT,2,0.1,0,1136,67,227,0,QOTu-PCA,arc segments,8.0,0.6159264482079778,0.08480565371024736,0.7164179104477612
Right,contig,HTL,PTT,2,0.1,0,1136,67,227,0,QOTc-HS4,arc labels,,,,
Right,contig,HTL,PTT,2,0.1,0,1136,67,227,0,QOTc-HSsrc,arc labels,,,,
Right,contig,HTL,PTT,2,0.1,0,1136,67,227,0,QOTc-PCA,arc labels,,,,
Right,contig,HTL,PTT,2,0.1,0,1136,67,227,0,SDM-HS4,arc labels,,,,
Right,contig,HTL,PTT,2,0.1,0,1136,67,227,0,SDM-HSsrc,arc labels,,,,
Right,contig,HTL,PTT,2,0.1,0,1136,67,227,0,SDM-PCA,arc labels,,,,
Right,contig,HTL,PTT,2,0.2,1,1136,67,454,25,NoAdapt,nothing,,0.503190315959957,0.06557377049180328,0.05970149253731343
