Enc,Side,Source,Target,Rot,AdaptFrac,kind,Method,BAC
Amp,Right,HTL,PTT,0,0.5,real,SDM-HS4,0.5154356060606061
Amp,Right,HTL,PTT,0,0.5,real,SDM-HSsrc,0.4595643939393939
Amp,Right,HTL,PTT,0,0.5,real,SDM-PCA,0.43693181818181814
Amp,Right,HTL,PTT,0,0.5,real,COT-u,0.4925189393939394
Amp,Right,HTL,PTT,0,0.5,real,SDMu-HS4,0.48096590909090914
Amp,Right,HTL,PTT,0,0.5,real,SDMu-HSsrc,0.4748106060606061
Amp,Right,HTL,PTT,0,0.5,real,SDMu-PCA,0.5
Amp,Right,HTL,PTT,0,0.5,srcperm,NoAdapt,0.46732954545454547
Amp,Right,HTL,PTT,0,0.5,srcperm,TargetOnly,0.5306818181818181
Amp,Right,HTL,PTT,0,0.5,srcperm,Source+Target,0.571780303030303
Amp,Right,HTL,PTT,0,0.5,srcperm,COT,0.4709280303030303
Amp,Right,HTL,PTT,0,0.5,srcperm,none-HS4,0.5297348484848485
Amp,Right,HTL,PTT,0,0.5,srcperm,none-HSsrc,0.5962121212121212
Amp,Right,HTL,PTT,0,0.5,srcperm,none-PCA,0.4684659090909091
Amp,Right,HTL,PTT,0,0.5,srcperm,QOTu-HS4,0.4892045454545455
Amp,Right,HTL,PTT,0,0.5,srcperm,QOTu-HSsrc,0.5232954545454546
Amp,Right,HTL,PTT,0,0.5,srcperm,QOTu-PCA,0.46723484848484853
Amp,Right,HTL,PTT,0,0.5,srcperm,QOTc-HS4,0.5346590909090909
Amp,Right,HTL,PTT,0,0.5,srcperm,QOTc-HSsrc,0.5553977272727273
Amp,Right,HTL,PTT,0,0.5,srcperm,QOTc-PCA,0.599905303030303
Amp,Right,HTL,PTT,0,0.5,srcperm,SDM-HS4,0.4964962121212121
Amp,Right,HTL,PTT,0,0.5,srcperm,SDM-HSsrc,0.5238636363636364
Amp,Right,HTL,PTT,0,0.5,srcperm,SDM-PCA,0.4496212121212121
Amp,Right,HTL,PTT,0,0.5,srcperm,COT-u,0.43333333333333335
Amp,Right,HTL,PTT,0,0.5,srcperm,SDMu-HS4,0.4846590909090909
Amp,Right,HTL,PTT,0,0.5,srcperm,SDMu-HSsrc,0.5181818181818182
Amp,Right,HTL,PTT,0,0.5,srcperm,SDMu-PCA,0.4564393939393939
Amp,Right,HTL,PTT,0,0.5,arcperm,NoAdapt,0.4975378787878788
Amp,Right,HTL,PTT,0,0.5,arcperm,TargetOnly,0.4739583333333333
Amp,Right,HTL,PTT,0,0.5,arcperm,Source+Target,0.5012310606060606
Amp,Right,HTL,PTT,0,0.5,arcperm,COT,0.4114583333333333
Amp,Right,HTL,PTT,0,0.5,arcperm,none-HS4,0.4942234848484849
Amp,Right,HTL,PTT,0,0.5,arcperm,none-HSsrc,0.4935606060606061
Amp,Right,HTL,PTT,0,0.5,arcperm,none-PCA,0.5196022727272727
Amp,Right,HTL,PTT,0,0.5,arcperm,QOTu-HS4,0.49573863636363635
Amp,Right,HTL,PTT,0,0.5,arcperm,QOTu-HSsrc,0.4952651515151515
Amp,Right,HTL,PTT,0,0.5,arcperm,QOTu-PCA,0.4946022727272727
Amp,Right,HTL,PTT,0,0.5,arcperm,QOTc-HS4,0.528314393939394
Amp,Right,HTL,PTT,0,0.5,arcperm,QOTc-HSsrc,0.47765151515151516
Amp,Right,HTL,PTT,0,0.5,arcperm,QOTc-PCA,0.42386363636363633
Amp,Right,HTL,PTT,0,0.5,arcperm,SDM-HS4,0.44659090909090915
Amp,Right,HTL,PTT,0,0.5,arcperm,SDM-HSsrc,0.4258522727272727
Amp,Right,HTL,PTT,0,0.5,arcperm,SDM-PCA,0.4510416666666667
Amp,Right,HTL,PTT,0,0.5,arcperm,COT-u,0.4925189393939394
Amp,Right,HTL,PTT,0,0.5,arcperm,SDMu-HS4,0.4752840909090909
Amp,Right,HTL,PTT,0,0.5,arcperm,SDMu-HSsrc,0.4748106060606061
Amp,Right,HTL,PTT,0,0.5,arcperm,SDMu-PCA,0.5
Amp,Right,HTL,PTT,0,0.5,srcperm,NoAdapt,0.6189393939393939
Amp,Right,HTL,PTT,0,0.5,srcperm,TargetOnly,0.5306818181818181
Amp,Right,HTL,PTT,0,0.5,srcperm,Source+Target,0.6463068181818181
Amp,Right,HTL,PTT,0,0.5,srcperm,COT,0.4804924242424243
Amp,Right,HTL,PTT,0,0.5,srcperm,none-HS4,0.5455492424242424
Amp,Right,HTL,PTT,0,0.5,srcperm,none-HSsrc,0.5822916666666667
Amp,Right,HTL,PTT,0,0.5,srcperm,none-PCA,0.6041666666666667
Amp,Right,HTL,PTT,0,0.5,srcperm,QOTu-HS4,0.5160037878787879
Amp,Right,HTL,PTT,0,0.5,srcperm,QOTu-HSsrc,0.5338068181818182
Amp,Right,HTL,PTT,0,0.5,srcperm,QOTu-PCA,0.4929924242424243
Amp,Right,HTL,PTT,0,0.5,srcperm,QOTc-HS4,0.5399621212121212
Amp,Right,HTL,PTT,0,0.5,srcperm,QOTc-HSsrc,0.5024621212121212
Amp,Right,HTL,PTT,0,0.5,srcperm,QOTc-PCA,0.5855113636363636
Amp,Right,HTL,PTT,0,0.5,srcperm,SDM-HS4,0.5013257575757576
Amp,Right,HTL,PTT,0,0.5,srcperm,SDM-HSsrc,0.484280303030303
Amp,Right,HTL,PTT,0,0.5,srcperm,SDM-PCA,0.45113636363636367
Amp,Right,HTL,PTT,0,0.5,srcperm,COT-u,0.493655303030303
Amp,Right,HTL,PTT,0,0.5,srcperm,SDMu-HS4,0.5007575757575757
Amp,Right,HTL,PTT,0,0.5,srcperm,SDMu-HSsrc,0.5722537878787879
Amp,Right,HTL,PTT,0,0.5,srcperm,SDMu-PCA,0.49914772727272727
Amp,Right,HTL,PTT,0,0.5,arcperm,NoAdapt,0.4975378787878788
Amp,Right,HTL,PTT,0,0.5,arcperm,TargetOnly,0.4575757575757576
Amp,Right,HTL,PTT,0,0.5,arcperm,Source+Target,0.4954545454545455
Amp,Right,HTL,PTT,0,0.5,arcperm,COT,0.415530303030303
Amp,Right,HTL,PTT,0,0.5,arcperm,none-HS4,0.49517045454545455
Amp,Right,HTL,PTT,0,0.5,arcperm,none-HSsrc,0.4935606060606061
Amp,Right,HTL,PTT,0,0.5,arcperm,none-PCA,0.5196022727272727
Amp,Right,HTL,PTT,0,0.5,arcperm,QOTu-HS4,0.4952651515151515
Amp,Right,HTL,PTT,0,0.5,arcperm,QOTu-HSsrc,0.4952651515151515
Amp,Right,HTL,PTT,0,0.5,arcperm,QOTu-PCA,0.4946022727272727
Amp,Right,HTL,PTT,0,0.5,arcperm,QOTc-HS4,0.4762310606060606
Amp,Right,HTL,PTT,0,0.5,arcperm,QOTc-HSsrc,0.4778409090909091
Amp,Right,HTL,PTT,0,0.5,arcperm,QOTc-PCA,0.5196969696969698
Amp,Right,HTL,PTT,0,0.5,arcperm,SDM-HS4,0.4470643939393939
Amp,Right,HTL,PTT,0,0.5,arcperm,SDM-HSsrc,0.45492424242424245
Amp,Right,HTL,PTT,0,0.5,arcperm,SDM-PCA,0.45719696969696966
Amp,Right,HTL,PTT,0,0.5,arcperm,COT-u,0.4925189393939394
Amp,Right,HTL,PTT,0,0.5,arcperm,SDMu-HS4,0.4733901515151515
Amp,Right,HTL,PTT,0,0.5,arcperm,SDMu-HSsrc,0.4748106060606061
Amp,Right,HTL,PTT,0,0.5,arcperm,SDMu-PCA,0.5
Amp,Right,HTL,PTT,1,0.05,real,NoAdapt,0.5045934965025202
Amp,Right,HTL,PTT,1,0.05,real,TargetOnly,0.4096868324420926
Amp,Right,HTL,PTT,1,0.05,real,Source+Target,0.4943663348365749
Amp,Right,HTL,PTT,1,0.05,real,COT,0.46071792580595616
Amp,Right,HTL,PTT,1,0.05,real,none-HS4,0.49434539184340226
Amp,Right,HTL,PTT,1,0.05,real,none-HSsrc,0.49808720662357064
Amp,Right,HTL,PTT,1,0.05,real,none-PCA,0.5101922566773244
Amp,Right,HTL,PTT,1,0.05,real,QOTu-HS4,0.6413302989263225
Amp,Right,HTL,PTT,1,0.05,real,QOTu-HSsrc,0.508998506066487
Amp,Right,HTL,PTT,1,0.05,real,QOTu-PCA,0.6125476453094676
Amp,Right,HTL,PTT,1,0.05,real,QOTc-HS4,0.44619046954190694
Amp,Right,HTL,PTT,1,0.05,real,QOTc-HSsrc,0.4708403725060386
Amp,Right,HTL,PTT,1,0.05,real,QOTc-PCA,0.5176898482331095
Amp,Right,HTL,PTT,1,0.05,real,SDM-HS4,0.47939907571590135
Amp,Right,HTL,PTT,1,0.05,real,SDM-HSsrc,0.40603577063233875
Amp,Right,HTL,PTT,1,0.05,real,SDM-PCA,0.40118397721402344
Amp,Right,HTL,PTT,1,0.05,real,COT-u,0.47726289041229775
Amp,Right,HTL,PTT,1,0.05,real,SDMu-HS4,0.5965751225165101
Amp,Right,HTL,PTT,1,0.05,real,SDMu-HSsrc,0.5192256677324323
Amp,Right,HTL,PTT,1,0.05,real,SDMu-PCA,0.5171941973946916
Amp,Right,HTL,PTT,1,0.05,srcperm,NoAdapt,0.7073216704131354
Amp,Right,HTL,PTT,1,0.05,srcperm,TargetOnly,0.4096868324420926
Amp,Right,HTL,PTT,1,0.05,srcperm,Source+Target,0.7009200955000489
Amp,Right,HTL,PTT,1,0.05,srcperm,COT,0.458379291568351
Amp,Right,HTL,PTT,1,0.05,srcperm,none-HS4,0.6561858620834089
Amp,Right,HTL,PTT,1,0.05,srcperm,none-HSsrc,0.7209904639571088
Amp,Right,HTL,PTT,1,0.05,srcperm,none-PCA,0.6813593398768552
Amp,Right,HTL,PTT,1,0.05,srcperm,QOTu-HS4,0.6166315289781216
Amp,Right,HTL,PTT,1,0.05,srcperm,QOTu-HSsrc,0.6367856694078717
Amp,Right,HTL,PTT,1,0.05,srcperm,QOTu-PCA,0.5665219273138518
Amp,Right,HTL,PTT,1,0.05,srcperm,QOTc-HS4,0.46677045083283303
Amp,Right,HTL,PTT,1,0.05,srcperm,QOTc-HSsrc,0.4265040559596778
Amp,Right,HTL,PTT,1,0.05,srcperm,QOTc-PCA,0.49015679320888544
Amp,Right,HTL,PTT,1,0.05,srcperm,SDM-HS4,0.47939907571590135
Amp,Right,HTL,PTT,1,0.05,srcperm,SDM-HSsrc,0.3806249389162699
Amp,Right,HTL,PTT,1,0.05,srcperm,SDM-PCA,0.37076078913198274
Amp,Right,HTL,PTT,1,0.05,srcperm,COT-u,0.5748083716124708
Amp,Right,HTL,PTT,1,0.05,srcperm,SDMu-HS4,0.6066836072211441
Amp,Right,HTL,PTT,1,0.05,srcperm,SDMu-HSsrc,0.623563659718247
Amp,Right,HTL,PTT,1,0.05,srcperm,SDMu-PCA,0.5487273641148793
Amp,Right,HTL,PTT,1,0.05,arcperm,NoAdapt,0.5045934965025202
Amp,Right,HTL,PTT,1,0.05,arcperm,TargetOnly,0.4932633371961521
Amp,Right,HTL,PTT,1,0.05,arcperm,Source+Target,0.49389860798905383
Amp,Right,HTL,PTT,1,0.05,arcperm,COT,0.5510520363570361
Amp,Right,HTL,PTT,1,0.05,arcperm,none-HS4,0.4980662636303981
Amp,Right,HTL,PTT,1,0.05,arcperm,none-HSsrc,0.49808720662357064
Amp,Right,HTL,PTT,1,0.05,arcperm,none-PCA,0.5101922566773244
Amp,Right,HTL,PTT,1,0.05,arcperm,QOTu-HS4,0.6431802633232342
Amp,Right,HTL,PTT,1,0.05,arcperm,QOTu-HSsrc,0.508998506066487
Amp,Right,HTL,PTT,1,0.05,arcperm,QOTu-PCA,0.6125476453094676
Amp,Right,HTL,PTT,1,0.05,arcperm,QOTc-HS4,0.49389860798905383
Amp,Right,HTL,PTT,1,0.05,arcperm,QOTc-HSsrc,0.5035533278416151
Amp,Right,HTL,PTT,1,0.05,arcperm,QOTc-PCA,0.4901358502157128
Amp,Right,HTL,PTT,1,0.05,arcperm,SDM-HS4,0.49111318989710007
Amp,Right,HTL,PTT,1,0.05,arcperm,SDM-HSsrc,0.5188417128576016
Amp,Right,HTL,PTT,1,0.05,arcperm,SDM-PCA,0.4586934364659397
Amp,Right,HTL,PTT,1,0.05,arcperm,COT-u,0.47726289041229775
Amp,Right,HTL,PTT,1,0.05,arcperm,SDMu-HS4,0.6287435600295994
Amp,Right,HTL,PTT,1,0.05,arcperm,SDMu-HSsrc,0.5192256677324323
Amp,Right,HTL,PTT,1,0.05,arcperm,SDMu-PCA,0.5171941973946916
Amp,Right,HTL,PTT,1,0.05,srcperm,NoAdapt,0.3875640506541195
Amp,Right,HTL,PTT,1,0.05,srcperm,TargetOnly,0.4096868324420926
Amp,Right,HTL,PTT,1,0.05,srcperm,Source+Target,0.46889965513871246
Amp,Right,HTL,PTT,1,0.05,srcperm,COT,0.45978247211091405
Amp,Right,HTL,PTT,1,0.05,srcperm,none-HS4,0.44402636024740655
Amp,Right,HTL,PTT,1,0.05,srcperm,none-HSsrc,0.4760621588037362
Amp,Right,HTL,PTT,1,0.05,srcperm,none-PCA,0.41348449520405456
Amp,Right,HTL,PTT,1,0.05,srcperm,QOTu-HS4,0.502939000041886
Amp,Right,HTL,PTT,1,0.05,srcperm,QOTu-HSsrc,0.4778492942211301
Amp,Right,HTL,PTT,1,0.05,srcperm,QOTu-PCA,0.3724013235971685
Amp,Right,HTL,PTT,1,0.05,srcperm,QOTc-HS4,0.46677045083283303
Amp,Right,HTL,PTT,1,0.05,srcperm,QOTc-HSsrc,0.40522597489633216
Amp,Right,HTL,PTT,1,0.05,srcperm,QOTc-PCA,0.5167543945380674
Amp,Right,HTL,PTT,1,0.05,srcperm,SDM-HS4,0.47939907571590135
Amp,Right,HTL,PTT,1,0.05,srcperm,SDM-HSsrc,0.4089677896765006
Amp,Right,HTL,PTT,1,0.05,srcperm,SDM-PCA,0.39465674434190134
Amp,Right,HTL,PTT,1,0.05,srcperm,COT-u,0.49607667927900256
Amp,Right,HTL,PTT,1,0.05,srcperm,SDMu-HS4,0.5980899990226602
Amp,Right,HTL,PTT,1,0.05,srcperm,SDMu-HSsrc,0.47591555785152817
Amp,Right,HTL,PTT,1,0.05,srcperm,SDMu-PCA,0.5295156583778954
Amp,Right,HTL,PTT,1,0.05,arcperm,NoAdapt,0.5045934965025202
Amp,Right,HTL,PTT,1,0.05,arcperm,TargetOnly,0.4732976837049551
Amp,Right,HTL,PTT,1,0.05,arcperm,Source+Target,0.49389860798905383
Amp,Right,HTL,PTT,1,0.05,arcperm,COT,0.48803456990073024
Amp,Right,HTL,PTT,1,0.05,arcperm,none-HS4,0.49434539184340226
Amp,Right,HTL,PTT,1,0.05,arcperm,none-HSsrc,0.49808720662357064
Amp,Right,HTL,PTT,1,0.05,arcperm,none-PCA,0.5101922566773244
Amp,Right,HTL,PTT,1,0.05,arcperm,QOTu-HS4,0.6305935244265111
Amp,Right,HTL,PTT,1,0.05,arcperm,QOTu-HSsrc,0.508998506066487
Amp,Right,HTL,PTT,1,0.05,arcperm,QOTu-PCA,0.6125476453094676
Amp,Right,HTL,PTT,1,0.05,arcperm,QOTc-HS4,0.4358795359032713
Amp,Right,HTL,PTT,1,0.05,arcperm,QOTc-HSsrc,0.47177582620108066
Amp,Right,HTL,PTT,1,0.05,arcperm,QOTc-PCA,0.5148834871479832
Amp,Right,HTL,PTT,1,0.05,arcperm,SDM-HS4,0.45694818703489104
Amp,Right,HTL,PTT,1,0.05,arcperm,SDM-HSsrc,0.47551764098124905
Amp,Right,HTL,PTT,1,0.05,arcperm,SDM-PCA,0.4199768230875557
Amp,Right,HTL,PTT,1,0.05,arcperm,COT-u,0.47726289041229775
Amp,Right,HTL,PTT,1,0.05,arcperm,SDMu-HS4,0.5089356770869693
Amp,Right,HTL,PTT,1,0.05,arcperm,SDMu-HSsrc,0.5192256677324323
Amp,Right,HTL,PTT,1,0.05,arcperm,SDMu-PCA,0.5171941973946916
Amp,Right,HTL,PTT,1,0.2,real,NoAdapt,0.5045934965025202
Amp,Right,HTL,PTT,1,0.2,real,TargetOnly,0.47088225849238374
Amp,Right,HTL,PTT,1,0.2,real,Source+Target,0.5125657959035506
Amp,Right,HTL,PTT,1,0.2,real,COT,0.39428675146251907
Amp,Right,HTL,PTT,1,0.2,real,none-HS4,0.49993717102048224
Amp,Right,HTL,PTT,1,0.2,real,none-HSsrc,0.49808720662357064
Amp,Right,HTL,PTT,1,0.2,real,none-PCA,0.5387235943761083
Amp,Right,HTL,PTT,1,0.2,real,QOTu-HS4,0.6344400541725423
Amp,Right,HTL,PTT,1,0.2,real,QOTu-HSsrc,0.5230303114921184
Amp,Right,HTL,PTT,1,0.2,real,QOTu-PCA,0.6292950588498107
Amp,Right,HTL,PTT,1,0.2,real,QOTc-HS4,0.5886935760858942
Amp,Right,HTL,PTT,1,0.2,real,QOTc-HSsrc,0.5300322522094858
Amp,Right,HTL,PTT,1,0.2,real,QOTc-PCA,0.4337782555882887
Amp,Right,HTL,PTT,1,0.2,real,SDM-HS4,0.5051799003113525
Amp,Right,HTL,PTT,1,0.2,real,SDM-HSsrc,0.5374949387766499
Amp,Right,HTL,PTT,1,0.2,real,SDM-PCA,0.4970749619535624
Amp,Right,HTL,PTT,1,0.2,real,COT-u,0.5295854683551373
Amp,Right,HTL,PTT,1,0.2,real,SDMu-HS4,0.669882579618279
Amp,Right,HTL,PTT,1,0.2,real,SDMu-HSsrc,0.5136757745416975
Amp,Right,HTL,PTT,1,0.2,real,SDMu-PCA,0.5
Amp,Right,HTL,PTT,1,0.2,srcperm,NoAdapt,0.7073216704131354
