Side,Arc,Source,Target,Rot,AdaptFrac,nEval,nEvalPos,nArc,Method,Uses,BAC,Precision,Recall
Right,contig,HTL,PTT,5,0.3,1136,19,682,SDMu-HS4,arc labels,0.3612354521038496,0.0,0.0
Right,contig,HTL,PTT,5,0.3,1136,19,682,SDMu-HSsrc,arc segments,0.40465532676812893,0.0,0.0
Right,contig,HTL,PTT,5,0.3,1136,19,682,SDMu-PCA,arc segments,0.314281675540687,0.00944386149003148,0.47368421052631576
Right,contig,HTL,PTT,5,0.5,1136,19,1112,COT-u,arc segments,0.5306035904443293,0.02702702702702703,0.15789473684210525
Right,contig,HTL,PTT,5,0.5,1136,19,1112,SDMu-HS4,arc labels,0.37063563115487913,0.0,0.0
Right,contig,HTL,PTT,5,0.5,1136,19,1112,SDMu-HSsrc,arc segments,0.41405550581915845,0.0,0.0
Right,contig,HTL,PTT,5,0.5,1136,19,1112,SDMu-PCA,arc segments,0.4468972341327805,0.010067114093959731,0.15789473684210525
Right,contig,HTL,PTT,6,0.05,1136,36,114,COT-u,arc segments,0.5765656565656565,0.03987730061349693,0.7222222222222222
Right,contig,HTL,PTT,6,0.05,1136,36,114,SDMu-HSsrc,arc segments,0.6504040404040403,0.05458515283842795,0.6944444444444444
Right,contig,HTL,PTT,6,0.05,1136,36,114,SDMu-PCA,arc segments,0.4920707070707071,0.03107658157602664,0.7777777777777778
Right,contig,HTL,PTT,6,0.1,1136,36,227,COT-u,arc segments,0.6484343434343434,0.05026929982046679,0.7777777777777778
Right,contig,HTL,PTT,6,0.1,1136,36,227,SDMu-HS4,arc labels,0.5638383838383838,0.03823529411764706,0.7222222222222222
Right,contig,HTL,PTT,6,0.1,1136,36,227,SDMu-HSsrc,arc segments,0.6302020202020202,0.04868913857677903,0.7222222222222222
Right,contig,HTL,PTT,6,0.1,1136,36,227,SDMu-PCA,arc segments,0.534949494949495,0.0351123595505618,0.6944444444444444
Right,contig,HTL,PTT,6,0.2,1136,36,454,COT-u,arc segments,0.7531313131313131,0.10775862068965517,0.6944444444444444
Right,contig,HTL,PTT,6,0.2,1136,36,454,SDMu-HS4,arc labels,0.626060606060606,0.05,0.6666666666666666
Right,contig,HTL,PTT,6,0.2,1136,36,454,SDMu-HSsrc,arc segments,0.6456060606060605,0.05491990846681922,0.6666666666666666
Right,contig,HTL,PTT,6,0.2,1136,36,454,SDMu-PCA,arc segments,0.538888888888889,0.03696498054474708,0.5277777777777778
Right,contig,HTL,PTT,6,0.3,1136,36,682,COT-u,arc segments,0.7402020202020202,0.08904109589041095,0.7222222222222222
Right,contig,HTL,PTT,6,0.3,1136,36,682,SDMu-HS4,arc labels,0.626060606060606,0.05,0.6666666666666666
Right,contig,HTL,PTT,6,0.3,1136,36,682,SDMu-HSsrc,arc segments,0.6321717171717172,0.052873563218390804,0.6388888888888888
Right,contig,HTL,PTT,6,0.3,1136,36,682,SDMu-PCA,arc segments,0.6594949494949495,0.05707762557077625,0.6944444444444444
Right,contig,HTL,PTT,6,0.5,1136,36,1112,COT-u,arc segments,0.7499494949494949,0.10460251046025104,0.6944444444444444
Right,contig,HTL,PTT,6,0.5,1136,36,1112,SDMu-HS4,arc labels,0.6283333333333333,0.05052631578947368,0.6666666666666666
Right,contig,HTL,PTT,6,0.5,1136,36,1112,SDMu-HSsrc,arc segments,0.6346969696969698,0.052060737527114966,0.6666666666666666
Right,contig,HTL,PTT,6,0.5,1136,36,1112,SDMu-PCA,arc segments,0.5643434343434344,0.04148471615720524,0.5277777777777778
Right,contig,HTL,PTT,7,0.05,1136,41,114,COT-u,arc segments,0.7580688272636151,0.08043478260869565,0.9024390243902439
Right,contig,HTL,PTT,7,0.05,1136,41,114,SDMu-HS4,arc labels,0.6539592382225192,0.05377906976744186,0.9024390243902439
Right,contig,HTL,PTT,7,0.05,1136,41,114,SDMu-HSsrc,arc segments,0.6434569551174965,0.052039381153305204,0.9024390243902439
Right,contig,HTL,PTT,7,0.05,1136,41,114,SDMu-PCA,arc segments,0.7210825258937521,0.06839186691312385,0.9024390243902439
Right,contig,HTL,PTT,7,0.1,1136,41,227,COT-u,arc segments,0.8005345806882727,0.1008174386920981,0.9024390243902439
Right,contig,HTL,PTT,7,0.1,1136,41,227,SDMu-HS4,arc labels,0.6804432564873594,0.05873015873015873,0.9024390243902439
Right,contig,HTL,PTT,7,0.1,1136,41,227,SDMu-HSsrc,arc segments,0.6767902884508297,0.05799373040752351,0.9024390243902439
Right,contig,HTL,PTT,7,0.1,1136,41,227,SDMu-PCA,arc segments,0.5,0.0,0.0
Right,contig,HTL,PTT,7,0.2,1136,41,454,COT-u,arc segments,0.8092103797750306,0.10632183908045977,0.9024390243902439
Right,contig,HTL,PTT,7,0.2,1136,41,454,SDMu-HS4,arc labels,0.7279318409622453,0.07034220532319392,0.9024390243902439
Right,contig,HTL,PTT,7,0.2,1136,41,454,SDMu-HSsrc,arc segments,0.6822697405056243,0.05910543130990415,0.9024390243902439
