Side,Arc,Source,Target,Rot,AdaptFrac,nEval,nEvalPos,nArc,Method,Uses,BAC,Precision,Recall
Right,random,WRM,RTT,5,0.2,2129,22,852,COT-u,arc segments,0.855114984683091,0.04555808656036447,0.9090909090909091
Right,random,WRM,RTT,5,0.2,2129,22,852,SDMu-HS4,arc labels,0.8107930275704363,0.035916824196597356,0.8636363636363636
Right,random,WRM,RTT,5,0.2,2129,22,852,SDMu-HSsrc,arc segments,0.8233162186650558,0.034904013961605584,0.9090909090909091
Right,random,WRM,RTT,5,0.2,2129,22,852,SDMu-PCA,arc segments,0.8207058722008889,0.03424657534246575,0.9090909090909091
Right,random,WRM,RTT,5,0.3,2129,22,1278,COT-u,arc segments,0.8498942917547568,0.04338394793926247,0.9090909090909091
Right,random,WRM,RTT,5,0.3,2129,22,1278,SDMu-HS4,arc labels,0.8112676360184665,0.036053130929791274,0.8636363636363636
Right,random,WRM,RTT,5,0.3,2129,22,1278,SDMu-HSsrc,arc segments,0.8027246839539198,0.03374777975133215,0.8636363636363636
Right,random,WRM,RTT,5,0.3,2129,22,1278,SDMu-PCA,arc segments,0.8195193510808129,0.03395585738539898,0.9090909090909091
Right,random,WRM,RTT,5,0.5,2129,22,2106,COT-u,arc segments,0.8536911593389999,0.0449438202247191,0.9090909090909091
Right,random,WRM,RTT,5,0.5,2129,22,2106,SDMu-HS4,arc labels,0.7947102731155887,0.036,0.8181818181818182
Right,random,WRM,RTT,5,0.5,2129,22,2106,SDMu-HSsrc,arc segments,0.8254519566811925,0.03546099290780142,0.9090909090909091
Right,random,WRM,RTT,5,0.5,2129,22,2106,SDMu-PCA,arc segments,0.8230789144410406,0.03484320557491289,0.9090909090909091
Right,random,WRM,RTT,6,0.05,2129,31,213,COT-u,arc segments,0.7999554106829854,0.04933586337760911,0.8387096774193549
Right,random,WRM,RTT,6,0.05,2129,31,213,SDMu-HS4,arc labels,0.8001937328946155,0.049429657794676805,0.8387096774193549
Right,random,WRM,RTT,6,0.05,2129,31,213,SDMu-HSsrc,arc segments,0.7948737661059688,0.04376012965964344,0.8709677419354839
Right,random,WRM,RTT,6,0.05,2129,31,213,SDMu-PCA,arc segments,0.5,0.0,0.0
Right,random,WRM,RTT,6,0.1,2129,31,426,COT-u,arc segments,0.8016236661643963,0.05,0.8387096774193549
Right,random,WRM,RTT,6,0.1,2129,31,426,SDMu-HS4,arc labels,0.7942356776038624,0.047186932849364795,0.8387096774193549
Right,random,WRM,RTT,6,0.1,2129,31,426,SDMu-HSsrc,arc segments,0.7886773886035856,0.041990668740279936,0.8709677419354839
Right,random,WRM,RTT,6,0.1,2129,31,426,SDMu-PCA,arc segments,0.5,0.0,0.0
Right,random,WRM,RTT,6,0.2,2129,31,852,COT-u,arc segments,0.7947123220271226,0.04735883424408015,0.8387096774193549
Right,random,WRM,RTT,6,0.2,2129,31,852,SDMu-HS4,arc labels,0.7746932562501923,0.04107424960505529,0.8387096774193549
Right,random,WRM,RTT,6,0.2,2129,31,852,SDMu-HSsrc,arc segments,0.7827193333128325,0.040419161676646706,0.8709677419354839
Right,random,WRM,RTT,6,0.2,2129,31,852,SDMu-PCA,arc segments,0.6258802546203758,0.025423728813559324,0.5806451612903226
Right,random,WRM,RTT,6,0.3,2129,31,1278,COT-u,arc segments,0.7966188997201635,0.04805914972273567,0.8387096774193549
Right,random,WRM,RTT,6,0.3,2129,31,1278,SDMu-HS4,arc labels,0.7882776223131093,0.04513888888888889,0.8387096774193549
Right,random,WRM,RTT,6,0.3,2129,31,1278,SDMu-HSsrc,arc segments,0.7839109443709831,0.04072398190045249,0.8709677419354839
Right,random,WRM,RTT,6,0.3,2129,31,1278,SDMu-PCA,arc segments,0.7143977367077708,0.029345372460496615,0.8387096774193549
Right,random,WRM,RTT,6,0.5,2129,31,2106,COT-u,arc segments,0.7932823887573419,0.04684684684684685,0.8387096774193549
Right,random,WRM,RTT,6,0.5,2129,31,2106,SDMu-HS4,arc labels,0.7928057443340817,0.0466786355475763,0.8387096774193549
Right,random,WRM,RTT,6,0.5,2129,31,2106,SDMu-HSsrc,arc segments,0.7872474553338049,0.04160246533127889,0.8709677419354839
Right,random,WRM,RTT,6,0.5,2129,31,2106,SDMu-PCA,arc segments,0.7267136135797534,0.029900332225913623,0.8709677419354839
Right,random,WRM,RTT,7,0.05,2129,35,213,COT-u,arc segments,0.7669190885523264,0.042432814710042434,0.8571428571428571
Right,random,WRM,RTT,7,0.05,2129,35,213,SDMu-HS4,arc labels,0.7363146404693682,0.03459821428571429,0.8857142857142857
Right,random,WRM,RTT,7,0.05,2129,35,213,SDMu-HSsrc,arc segments,0.7158207122390503,0.03257328990228013,0.8571428571428571
Right,random,WRM,RTT,7,0.05,2129,35,213,SDMu-PCA,arc segments,0.5,0.0,0.0
Right,random,WRM,RTT,7,0.1,2129,35,426,COT-u,arc segments,0.7308636921817437,0.03496503496503497,0.8571428571428571
Right,random,WRM,RTT,7,0.1,2129,35,426,SDMu-HS4,arc labels,0.744712784827398,0.0375,0.8571428571428571
Right,random,WRM,RTT,7,0.1,2129,35,426,SDMu-HSsrc,arc segments,0.7646882248601445,0.03818615751789976,0.9142857142857143
Right,random,WRM,RTT,7,0.1,2129,35,426,SDMu-PCA,arc segments,0.6400122799836268,0.02556818181818182,0.7714285714285715
Right,random,WRM,RTT,7,0.2,2129,35,852,COT-u,arc segments,0.7075863009960431,0.03492884864165589,0.7714285714285715
Right,random,WRM,RTT,7,0.2,2129,35,852,SDMu-HS4,arc labels,0.7644903806794925,0.03984575835475578,0.8857142857142857
Right,random,WRM,RTT,7,0.2,2129,35,852,SDMu-HSsrc,arc segments,0.7680311092918543,0.038834951456310676,0.9142857142857143
Right,random,WRM,RTT,7,0.2,2129,35,852,SDMu-PCA,arc segments,0.5,0.016439643024894316,1.0
Right,random,WRM,RTT,7,0.3,2129,35,1278,COT-u,arc segments,0.7449924955655616,0.03929539295392954,0.8285714285714286
Right,random,WRM,RTT,7,0.3,2129,35,1278,SDMu-HS4,arc labels,0.776865875289944,0.04066073697585769,0.9142857142857143
Right,random,WRM,RTT,7,0.3,2129,35,1278,SDMu-HSsrc,arc segments,0.765643334697776,0.03836930455635491,0.9142857142857143
Right,random,WRM,RTT,7,0.3,2129,35,1278,SDMu-PCA,arc segments,0.5,0.016439643024894316,1.0
Right,random,WRM,RTT,7,0.5,2129,35,2118,COT-u,arc segments,0.7316618911174786,0.03819918144611187,0.8
Right,random,WRM,RTT,7,0.5,2129,35,2118,SDMu-HS4,arc labels,0.7701801064265248,0.0392638036809816,0.9142857142857143
Right,random,WRM,RTT,7,0.5,2129,35,2118,SDMu-HSsrc,arc segments,0.7534656842679766,0.03615819209039548,0.9142857142857143
Right,random,WRM,RTT,7,0.5,2129,35,2118,SDMu-PCA,arc segments,0.6347250648110248,0.028423772609819122,0.6285714285714286
Left,contig,HTL,PTT,0,0.05,1136,85,114,COT-u,arc segments,0.48504505512956847,0.0661764705882353,0.21176470588235294
Left,contig,HTL,PTT,0,0.05,1136,85,114,SDMu-HS4,arc labels,0.4231600156713494,0.05108055009823183,0.3058823529411765
Left,contig,HTL,PTT,0,0.05,1136,85,114,SDMu-HSsrc,arc segments,0.45200089550568084,0.04861111111111111,0.16470588235294117
Left,contig,HTL,PTT,0,0.05,1136,85,114,SDMu-PCA,arc segments,0.4277830637488107,0.044854881266490766,0.2
Left,contig,HTL,PTT,0,0.1,1136,85,227,COT-u,arc segments,0.49122964123803664,0.0694980694980695,0.21176470588235294
Left,contig,HTL,PTT,0,0.1,1136,85,227,SDMu-HS4,arc labels,0.4244137236245592,0.05070993914807302,0.29411764705882354
Left,contig,HTL,PTT,0,0.1,1136,85,227,SDMu-HSsrc,arc segments,0.4510494207197627,0.04827586206896552,0.16470588235294117
Left,contig,HTL,PTT,0,0.1,1136,85,227,SDMu-PCA,arc segments,0.4516203055913136,0.060077519379844964,0.36470588235294116
Left,contig,HTL,PTT,0,0.2,1136,85,454,COT-u,arc segments,0.5487155090390105,0.09659090909090909,0.4
Left,contig,HTL,PTT,0,0.2,1136,85,454,SDMu-HS4,arc labels,0.463726423014496,0.060453400503778336,0.2823529411764706
Left,contig,HTL,PTT,0,0.2,1136,85,454,SDMu-HSsrc,arc segments,0.44045446913303854,0.0471976401179941,0.18823529411764706
Left,contig,HTL,PTT,0,0.2,1136,85,454,SDMu-PCA,arc segments,0.44387418145183855,0.05339805825242718,0.25882352941176473
Left,contig,HTL,PTT,0,0.3,1136,85,682,COT-u,arc segments,0.4988918117199306,0.07441860465116279,0.3764705882352941
Left,contig,HTL,PTT,0,0.3,1136,85,682,SDMu-HS4,arc labels,0.4805899143672693,0.06343283582089553,0.2
Left,contig,HTL,PTT,0,0.3,1136,85,682,SDMu-HSsrc,arc segments,0.43868024850282644,0.04430379746835443,0.16470588235294117
Left,contig,HTL,PTT,0,0.3,1136,85,682,SDMu-PCA,arc segments,0.4416689987127106,0.053488372093023255,0.27058823529411763
Left,contig,HTL,PTT,0,0.5,1136,85,1124,COT-u,arc segments,0.48526893154978457,0.06991525423728813,0.38823529411764707
Left,contig,HTL,PTT,0,0.5,1136,85,1124,SDMu-HS4,arc labels,0.4800302233167292,0.06547619047619048,0.25882352941176473
Left,contig,HTL,PTT,0,0.5,1136,85,1124,SDMu-HSsrc,arc segments,0.4361280573123636,0.04220779220779221,0.15294117647058825
Left,contig,HTL,PTT,0,0.5,1136,85,1124,SDMu-PCA,arc segments,0.3843678289584149,0.046583850931677016,0.35294117647058826
Left,contig,HTL,PTT,1,0.05,1136,76,114,COT-u,arc segments,0.4919314796425025,0.0634441087613293,0.27631578947368424
Left,contig,HTL,PTT,1,0.05,1136,76,114,SDMu-HS4,arc labels,0.4703574975173783,0.052980132450331126,0.21052631578947367
Left,contig,HTL,PTT,1,0.05,1136,76,114,SDMu-HSsrc,arc segments,0.4628599801390268,0.04861111111111111,0.18421052631578946
Left,contig,HTL,PTT,1,0.05,1136,76,114,SDMu-PCA,arc segments,0.4386792452830189,0.04589371980676329,0.25
Left,contig,HTL,PTT,1,0.1,1136,76,227,COT-u,arc segments,0.4844339622641509,0.05993690851735016,0.25
Left,contig,HTL,PTT,1,0.1,1136,76,227,SDMu-HS4,arc labels,0.4703823237338629,0.05226480836236934,0.19736842105263158
Left,contig,HTL,PTT,1,0.1,1136,76,227,SDMu-HSsrc,arc segments,0.4694885799404171,0.05019305019305019,0.17105263157894737
Left,contig,HTL,PTT,1,0.1,1136,76,227,SDMu-PCA,arc segments,0.5458540218470704,0.07625899280575539,0.6973684210526315
Left,contig,HTL,PTT,1,0.2,1136,76,454,COT-u,arc segments,0.5047418073485601,0.0694980694980695,0.23684210526315788
Left,contig,HTL,PTT,1,0.2,1136,76,454,SDMu-HS4,arc labels,0.46382820258192653,0.04797047970479705,0.17105263157894737
Left,contig,HTL,PTT,1,0.2,1136,76,454,SDMu-HSsrc,arc segments,0.4595829195630586,0.04642857142857143,0.17105263157894737
Left,contig,HTL,PTT,1,0.2,1136,76,454,SDMu-PCA,arc segments,0.5110973187686196,0.06921944035346098,0.618421052631579
Left,contig,HTL,PTT,1,0.3,1136,76,682,COT-u,arc segments,0.5101042701092353,0.0702576112412178,0.39473684210526316
Left,contig,HTL,PTT,1,0.3,1136,76,682,SDMu-HS4,arc labels,0.4703574975173783,0.052980132450331126,0.21052631578947367
Left,contig,HTL,PTT,1,0.3,1136,76,682,SDMu-HSsrc,arc segments,0.45685203574975175,0.03982300884955752,0.11842105263157894
Left,contig,HTL,PTT,1,0.3,1136,76,682,SDMu-PCA,arc segments,0.4751986097318769,0.059880239520958084,0.39473684210526316
Left,contig,HTL,PTT,1,0.5,1136,76,1112,COT-u,arc segments,0.49210526315789477,0.06470588235294118,0.4342105263157895
Left,contig,HTL,PTT,1,0.5,1136,76,1112,SDMu-HS4,arc labels,0.4823982125124131,0.06082725060827251,0.32894736842105265
Left,contig,HTL,PTT,1,0.5,1136,76,1112,SDMu-HSsrc,arc segments,0.43128103277060575,0.03823529411764706,0.17105263157894737
Left,contig,HTL,PTT,1,0.5,1136,76,1112,SDMu-PCA,arc segments,0.4259185700099305,0.043859649122807015,0.2631578947368421
Left,contig,HTL,PTT,2,0.05,1136,82,114,COT-u,arc segments,0.49088258434766513,0.06790123456790123,0.2682926829268293
Left,contig,HTL,PTT,2,0.05,1136,82,114,SDMu-HSsrc,arc segments,0.44055167306891285,0.036,0.10975609756097561
Left,contig,HTL,PTT,2,0.05,1136,82,114,SDMu-PCA,arc segments,0.5,0.0,0.0
Left,contig,HTL,PTT,2,0.1,1136,82,227,COT-u,arc segments,0.4984032952283982,0.07142857142857142,0.2804878048780488
Left,contig,HTL,PTT,2,0.1,1136,82,227,SDMu-HS4,arc labels,0.47618827231915584,0.05813953488372093,0.18292682926829268
Left,contig,HTL,PTT,2,0.1,1136,82,227,SDMu-HSsrc,arc segments,0.4210325357523025,0.03278688524590164,0.12195121951219512
Left,contig,HTL,PTT,2,0.1,1136,82,227,SDMu-PCA,arc segments,0.5,0.0,0.0
Left,contig,HTL,PTT,2,0.2,1136,82,454,COT-u,arc segments,0.49088258434766513,0.06790123456790123,0.2682926829268293
Left,contig,HTL,PTT,2,0.2,1136,82,454,SDMu-HS4,arc labels,0.44494839635303374,0.04516129032258064,0.17073170731707318
Left,contig,HTL,PTT,2,0.2,1136,82,454,SDMu-HSsrc,arc segments,0.4312607025500995,0.04,0.15853658536585366
Left,contig,HTL,PTT,2,0.2,1136,82,454,SDMu-PCA,arc segments,0.4703336881566159,0.06300813008130081,0.3780487804878049
Left,contig,HTL,PTT,2,0.3,1136,82,682,COT-u,arc segments,0.47820150877030587,0.06428571428571428,0.32926829268292684
Left,contig,HTL,PTT,2,0.3,1136,82,682,SDMu-HS4,arc labels,0.4530823344286574,0.04659498207885305,0.15853658536585366
Left,contig,HTL,PTT,2,0.3,1136,82,682,SDMu-HSsrc,arc segments,0.43526403480353587,0.03636363636363636,0.12195121951219512
Left,contig,HTL,PTT,2,0.3,1136,82,682,SDMu-PCA,arc segments,0.5,0.0721830985915493,1.0
Left,contig,HTL,PTT,2,0.5,1136,82,1112,COT-u,arc segments,0.49595038644883604,0.07077625570776255,0.3780487804878049
Left,contig,HTL,PTT,2,0.5,1136,82,1112,SDMu-HS4,arc labels,0.46004766973665945,0.056555269922879174,0.2682926829268293
Left,contig,HTL,PTT,2,0.5,1136,82,1112,SDMu-HSsrc,arc segments,0.42604248623131397,0.03869047619047619,0.15853658536585366
Left,contig,HTL,PTT,2,0.5,1136,82,1112,SDMu-PCA,arc segments,0.47338825380663674,0.06306306306306306,0.34146341463414637
Left,contig,HTL,PTT,3,0.05,1136,66,114,COT-u,arc segments,0.47708864344378366,0.04827586206896552,0.21212121212121213
Left,contig,HTL,PTT,3,0.05,1136,66,114,SDMu-HS4,arc labels,0.4823845935995469,0.053418803418803416,0.3787878787878788
Left,contig,HTL,PTT,3,0.05,1136,66,114,SDMu-HSsrc,arc segments,0.47731520815632966,0.05121951219512195,0.3181818181818182
Left,contig,HTL,PTT,3,0.05,1136,66,114,SDMu-PCA,arc segments,0.45485698102520533,0.043010752688172046,0.24242424242424243
Left,contig,HTL,PTT,3,0.1,1136,66,227,COT-u,arc segments,0.4638062871707731,0.04225352112676056,0.18181818181818182
Left,contig,HTL,PTT,3,0.1,1136,66,227,SDMu-HS4,arc labels,0.4674030019824412,0.04830917874396135,0.30303030303030304
Left,contig,HTL,PTT,3,0.1,1136,66,227,SDMu-HSsrc,arc segments,0.478249787595582,0.051470588235294115,0.3181818181818182
Left,contig,HTL,PTT,3,0.1,1136,66,227,SDMu-PCA,arc segments,0.4553950722175021,0.039735099337748346,0.18181818181818182
Left,contig,HTL,PTT,3,0.2,1136,66,454,COT-u,arc segments,0.4479467572925517,0.04207920792079208,0.25757575757575757
Left,contig,HTL,PTT,3,0.2,1136,66,454,SDMu-HS4,arc labels,0.48946474086661007,0.0546875,0.3181818181818182
Left,contig,HTL,PTT,3,0.2,1136,66,454,SDMu-HSsrc,arc segments,0.45623052959501553,0.038869257950530034,0.16666666666666666
Left,contig,HTL,PTT,3,0.2,1136,66,454,SDMu-PCA,arc segments,0.424440668365902,0.04222972972972973,0.3787878787878788
Left,contig,HTL,PTT,3,0.3,1136,66,682,COT-u,arc segments,0.45869442084395357,0.04461942257217848,0.25757575757575757
Left,contig,HTL,PTT,3,0.3,1136,66,682,SDMu-HS4,arc labels,0.48666100254885303,0.05384615384615385,0.3181818181818182
Left,contig,HTL,PTT,3,0.3,1136,66,682,SDMu-HSsrc,arc segments,0.46110167091475507,0.04234527687296417,0.19696969696969696
Left,contig,HTL,PTT,3,0.3,1136,66,682,SDMu-PCA,arc segments,0.5,0.058098591549295774,1.0
Left,contig,HTL,PTT,3,0.5,1136,66,1112,COT-u,arc segments,0.505380911922968,0.05963302752293578,0.3939393939393939
Left,contig,HTL,PTT,3,0.5,1136,66,1112,SDMu-HS4,arc labels,0.49003115264797503,0.055,0.3333333333333333
Left,contig,HTL,PTT,3,0.5,1136,66,1112,SDMu-HSsrc,arc segments,0.4390399320305862,0.03560830860534125,0.18181818181818182
Left,contig,HTL,PTT,3,0.5,1136,66,1112,SDMu-PCA,arc segments,0.5,0.058098591549295774,1.0
Left,contig,HTL,PTT,4,0.05,1136,64,114,COT-u,arc segments,0.47388059701492535,0.047058823529411764,0.25
Left,contig,HTL,PTT,4,0.05,1136,64,114,SDMu-HS4,arc labels,0.46746735074626866,0.04668304668304668,0.296875
Left,contig,HTL,PTT,4,0.05,1136,64,114,SDMu-HSsrc,arc segments,0.5150419776119404,0.06748466257668712,0.171875
Left,contig,HTL,PTT,4,0.05,1136,64,114,SDMu-PCA,arc segments,0.5,0.056338028169014086,1.0
Left,contig,HTL,PTT,4,0.1,1136,64,227,COT-u,arc segments,0.4900886194029851,0.053763440860215055,0.390625
Left,contig,HTL,PTT,4,0.1,1136,64,227,SDMu-HS4,arc labels,0.46163712686567165,0.04752851711026616,0.390625
Left,contig,HTL,PTT,4,0.1,1136,64,227,SDMu-HSsrc,arc segments,0.46793376865671643,0.02459016393442623,0.046875
Left,contig,HTL,PTT,4,0.1,1136,64,227,SDMu-PCA,arc segments,0.46770055970149255,0.04751131221719457,0.328125
Left,contig,HTL,PTT,4,0.2,1136,64,454,COT-u,arc segments,0.47737873134328357,0.04891304347826087,0.28125
Left,contig,HTL,PTT,4,0.2,1136,64,454,SDMu-HS4,arc labels,0.4455457089552239,0.046476761619190406,0.484375
Left,contig,HTL,PTT,4,0.2,1136,64,454,SDMu-HSsrc,arc segments,0.4475279850746269,0.038781163434903045,0.21875
Left,contig,HTL,PTT,4,0.2,1136,64,454,SDMu-PCA,arc segments,0.46560167910447764,0.046228710462287104,0.296875
Left,contig,HTL,PTT,4,0.3,1136,64,682,COT-u,arc segments,0.48775652985074625,0.051829268292682924,0.265625
Left,contig,HTL,PTT,4,0.3,1136,64,682,SDMu-HS4,arc labels,0.47213152985074625,0.05009276437847866,0.421875
Left,contig,HTL,PTT,4,0.3,1136,64,682,SDMu-HSsrc,arc segments,0.4299207089552239,0.02903225806451613,0.140625
Left,contig,HTL,PTT,4,0.3,1136,64,682,SDMu-PCA,arc segments,0.4925373134328358,0.05509641873278237,0.625
Left,contig,HTL,PTT,4,0.5,1136,64,1114,COT-u,arc segments,0.5061800373134329,0.05928853754940711,0.234375
Left,contig,HTL,PTT,4,0.5,1136,64,1114,SDMu-HS4,arc labels,0.4861240671641791,0.051771117166212535,0.296875
Left,contig,HTL,PTT,4,0.5,1136,64,1114,SDMu-HSsrc,arc segments,0.435517723880597,0.030201342281879196,0.140625
Left,contig,HTL,PTT,4,0.5,1136,64,1114,SDMu-PCA,arc segments,0.5222714552238805,0.06133828996282528,0.515625
Left,contig,HTL,PTT,5,0.05,1136,36,114,COT-u,arc segments,0.5013131313131314,0.03187250996015936,0.4444444444444444
Left,contig,HTL,PTT,5,0.05,1136,36,114,SDMu-HS4,arc labels,0.41494949494949496,0.023121387283236993,0.4444444444444444
Left,contig,HTL,PTT,5,0.05,1136,36,114,SDMu-HSsrc,arc segments,0.4626767676767677,0.027257240204429302,0.4444444444444444
Left,contig,HTL,PTT,5,0.05,1136,36,114,SDMu-PCA,arc segments,0.5362121212121213,0.03460207612456748,0.8333333333333334
Left,contig,HTL,PTT,5,0.1,1136,36,227,COT-u,arc segments,0.4862121212121212,0.029339853300733496,0.3333333333333333
Left,contig,HTL,PTT,5,0.1,1136,36,227,SDMu-HS4,arc labels,0.4254040404040404,0.02391629297458894,0.4444444444444444
Left,contig,HTL,PTT,5,0.1,1136,36,227,SDMu-HSsrc,arc segments,0.46095959595959596,0.025404157043879907,0.3055555555555556
Left,contig,HTL,PTT,5,0.1,1136,36,227,SDMu-PCA,arc segments,0.48055555555555557,0.029850746268656716,0.6111111111111112
Left,contig,HTL,PTT,5,0.2,1136,36,454,COT-u,arc segments,0.507070707070707,0.03333333333333333,0.2777777777777778
Left,contig,HTL,PTT,5,0.2,1136,36,454,SDMu-HS4,arc labels,0.4617676767676767,0.027164685908319185,0.4444444444444444
Left,contig,HTL,PTT,5,0.2,1136,36,454,SDMu-HSsrc,arc segments,0.4440909090909091,0.022113022113022112,0.25
Left,contig,HTL,PTT,5,0.2,1136,36,454,SDMu-PCA,arc segments,0.5,0.03169014084507042,1.0
Left,contig,HTL,PTT,5,0.3,1136,36,682,COT-u,arc segments,0.5132323232323233,0.03459119496855346,0.3055555555555556
Left,contig,HTL,PTT,5,0.3,1136,36,682,SDMu-HS4,arc labels,0.4734848484848485,0.02745995423340961,0.3333333333333333
Left,contig,HTL,PTT,5,0.3,1136,36,682,SDMu-HSsrc,arc segments,0.40010101010101007,0.011560693641618497,0.1111111111111111
Left,contig,HTL,PTT,5,0.3,1136,36,682,SDMu-PCA,arc segments,0.533989898989899,0.03814713896457766,0.3888888888888889
Left,contig,HTL,PTT,5,0.5,1136,36,1112,COT-u,arc segments,0.5243939393939394,0.036923076923076927,0.3333333333333333
Left,contig,HTL,PTT,5,0.5,1136,36,1112,SDMu-HS4,arc labels,0.4739393939393939,0.027522935779816515,0.3333333333333333
Left,contig,HTL,PTT,5,0.5,1136,36,1112,SDMu-HSsrc,arc segments,0.40555555555555556,0.011976047904191617,0.1111111111111111
Left,contig,HTL,PTT,5,0.5,1136,36,1112,SDMu-PCA,arc segments,0.5091919191919192,0.03333333333333333,0.3611111111111111
Left,contig,HTL,PTT,6,0.05,1136,51,114,COT-u,arc segments,0.5232221921026475,0.05228758169934641,0.3137254901960784
Left,contig,HTL,PTT,6,0.05,1136,51,114,SDMu-HSsrc,arc segments,0.5560766241980664,0.055776892430278883,0.5490196078431373
Left,contig,HTL,PTT,6,0.05,1136,51,114,SDMu-PCA,arc segments,0.5513779705430559,0.059880239520958084,0.39215686274509803
Left,contig,HTL,PTT,6,0.1,1136,51,227,COT-u,arc segments,0.578232583355923,0.07046979865771812,0.4117647058823529
Left,contig,HTL,PTT,6,0.1,1136,51,227,SDMu-HS4,arc labels,0.5685641998734978,0.05673758865248227,0.6274509803921569
Left,contig,HTL,PTT,6,0.1,1136,51,227,SDMu-HSsrc,arc segments,0.5464443842052951,0.05228758169934641,0.6274509803921569
Left,contig,HTL,PTT,6,0.1,1136,51,227,SDMu-PCA,arc segments,0.5480437336224813,0.05067985166872682,0.803921568627451
Left,contig,HTL,PTT,6,0.2,1136,51,454,COT-u,arc segments,0.5700641546941357,0.0650887573964497,0.43137254901960786
Left,contig,HTL,PTT,6,0.2,1136,51,454,SDMu-HS4,arc labels,0.5717900063251107,0.05745062836624776,0.6274509803921569
Left,contig,HTL,PTT,6,0.2,1136,51,454,SDMu-HSsrc,arc segments,0.5624017348875034,0.05793991416309013,0.5294117647058824
Left,contig,HTL,PTT,6,0.2,1136,51,454,SDMu-PCA,arc segments,0.5,0.0,0.0
Left,contig,HTL,PTT,6,0.3,1136,51,682,COT-u,arc segments,0.5696033252010482,0.06489675516224189,0.43137254901960786
Left,contig,HTL,PTT,6,0.3,1136,51,682,SDMu-HS4,arc labels,0.5708231679768683,0.059574468085106386,0.5490196078431373
Left,contig,HTL,PTT,6,0.3,1136,51,682,SDMu-HSsrc,arc segments,0.5202945694406795,0.04932735426008968,0.43137254901960786
Left,contig,HTL,PTT,6,0.3,1136,51,682,SDMu-PCA,arc segments,0.5915243516761544,0.060240963855421686,0.6862745098039216
Left,contig,HTL,PTT,6,0.5,1136,51,1112,COT-u,arc segments,0.5972169512966476,0.06666666666666667,0.5686274509803921
Left,contig,HTL,PTT,6,0.5,1136,51,1112,SDMu-HS4,arc labels,0.5377699466883528,0.051418439716312055,0.5686274509803921
Left,contig,HTL,PTT,6,0.5,1136,51,1112,SDMu-HSsrc,arc segments,0.5368031083401102,0.05241090146750524,0.49019607843137253
Left,contig,HTL,PTT,6,0.5,1136,51,1112,SDMu-PCA,arc segments,0.4920213246588958,0.0436817472698908,0.5490196078431373
Left,contig,HTL,PTT,7,0.05,1136,54,114,COT-u,arc segments,0.6031525980694188,0.07006369426751592,0.6111111111111112
Left,contig,HTL,PTT,7,0.05,1136,54,114,SDMu-HS4,arc labels,0.580252618607517,0.08780487804878048,0.3333333333333333
Left,contig,HTL,PTT,7,0.05,1136,54,114,SDMu-HSsrc,arc segments,0.5512596700212227,0.060240963855421686,0.46296296296296297
Left,contig,HTL,PTT,7,0.05,1136,54,114,SDMu-PCA,arc segments,0.508831382214007,0.049019607843137254,0.5555555555555556
Left,contig,HTL,PTT,7,0.1,1136,54,227,COT-u,arc segments,0.6225097555966317,0.08196721311475409,0.5555555555555556
Left,contig,HTL,PTT,7,0.1,1136,54,227,SDMu-HS4,arc labels,0.55639419456425,0.059957173447537475,0.5185185185185185
Left,contig,HTL,PTT,7,0.1,1136,54,227,SDMu-HSsrc,arc segments,0.5530567536112823,0.06321839080459771,0.4074074074074074
Left,contig,HTL,PTT,7,0.1,1136,54,227,SDMu-PCA,arc segments,0.5,0.0,0.0
Left,contig,HTL,PTT,7,0.2,1136,54,454,COT-u,arc segments,0.6567912644622441,0.08816120906801007,0.6481481481481481
Left,contig,HTL,PTT,7,0.2,1136,54,454,SDMu-HS4,arc labels,0.5897172588484973,0.06768558951965066,0.5740740740740741
Left,contig,HTL,PTT,7,0.2,1136,54,454,SDMu-HSsrc,arc segments,0.5480591497227356,0.05818965517241379,0.5
Left,contig,HTL,PTT,7,0.2,1136,54,454,SDMu-PCA,arc segments,0.43936126514684737,0.03664921465968586,0.3888888888888889
Left,contig,HTL,PTT,7,0.3,1136,54,682,COT-u,arc segments,0.6541041966180599,0.07874015748031496,0.7407407407407407
Left,contig,HTL,PTT,7,0.3,1136,54,682,SDMu-HS4,arc labels,0.5634113781063874,0.059245960502693,0.6111111111111112
Left,contig,HTL,PTT,7,0.3,1136,54,682,SDMu-HSsrc,arc segments,0.5462962962962963,0.055846422338568937,0.5925925925925926
Left,contig,HTL,PTT,7,0.3,1136,54,682,SDMu-PCA,arc segments,0.5,0.04753521126760563,1.0
Left,contig,HTL,PTT,7,0.5,1136,54,1124,COT-u,arc segments,0.6028274115150271,0.0640625,0.7592592592592593
Left,contig,HTL,PTT,7,0.5,1136,54,1124,SDMu-HS4,arc labels,0.5626583145067433,0.055916775032509754,0.7962962962962963
Left,contig,HTL,PTT,7,0.5,1136,54,1124,SDMu-HSsrc,arc segments,0.5386287396453755,0.05237515225334957,0.7962962962962963
Left,contig,HTL,PTT,7,0.5,1136,54,1124,SDMu-PCA,arc segments,0.5,0.04753521126760563,1.0
Left,contig,HTL,RTT,0,0.05,2129,35,213,COT-u,arc segments,0.5154523127302497,0.017170329670329672,0.7142857142857143
