Enc,Side,Source,Target,Rot,AdaptFrac,ArcOK,knob,value,Method,BAC
Amp,Right,HTL,PTT,0,0.5,1,OTREG,0.005,SDMu-HSsrc,0.48806818181818185
Amp,Right,HTL,PTT,0,0.5,1,OTREG,0.005,SDMu-PCA,0.5
Amp,Right,HTL,PTT,0,0.5,1,OTREG,0.005,COT-c,0.5201704545454545
Amp,Right,HTL,PTT,0,0.5,1,OTREG,0.005,SDM-HS4,0.5246212121212122
Amp,Right,HTL,PTT,0,0.5,1,OTREG,0.005,SDM-HSsrc,0.45170454545454547
Amp,Right,HTL,PTT,0,0.5,1,OTREG,0.005,SDM-PCA,0.49375
Amp,Right,HTL,PTT,0,0.5,1,OTREG,0.01,COT-u,0.4856060606060606
Amp,Right,HTL,PTT,0,0.5,1,OTREG,0.01,SDMu-HS4,0.48522727272727273
Amp,Right,HTL,PTT,0,0.5,1,OTREG,0.01,SDMu-HSsrc,0.487594696969697
Amp,Right,HTL,PTT,0,0.5,1,OTREG,0.01,SDMu-PCA,0.47878787878787876
Amp,Right,HTL,PTT,0,0.5,1,OTREG,0.01,COT-c,0.5458333333333333
Amp,Right,HTL,PTT,0,0.5,1,OTREG,0.01,SDM-HS4,0.512594696969697
Amp,Right,HTL,PTT,0,0.5,1,OTREG,0.01,SDM-HSsrc,0.4512310606060606
Amp,Right,HTL,PTT,0,0.5,1,OTREG,0.01,SDM-PCA,0.4893939393939394
Amp,Right,HTL,PTT,0,0.5,1,OTREG,0.05,COT-u,0.4925189393939394
Amp,Right,HTL,PTT,0,0.5,1,OTREG,0.05,SDMu-HS4,0.48096590909090914
Amp,Right,HTL,PTT,0,0.5,1,OTREG,0.05,SDMu-HSsrc,0.4748106060606061
Amp,Right,HTL,PTT,0,0.5,1,OTREG,0.05,SDMu-PCA,0.5
Amp,Right,HTL,PTT,0,0.5,1,OTREG,0.05,COT-c,0.471969696969697
Amp,Right,HTL,PTT,0,0.5,1,OTREG,0.05,SDM-HS4,0.5154356060606061
Amp,Right,HTL,PTT,0,0.5,1,OTREG,0.05,SDM-HSsrc,0.4595643939393939
Amp,Right,HTL,PTT,0,0.5,1,OTREG,0.05,SDM-PCA,0.43693181818181814
Amp,Right,HTL,PTT,0,0.5,1,OTREG,0.1,COT-u,0.484469696969697
