Enc,Side,Source,Target,Rot,AdaptFrac,ArcOK,knob,value,Method,BAC
Ang,Right,HTL,PTT,0,0.5,1,OTREG,0.005,COT-u,0.48797348484848485
Ang,Right,HTL,PTT,0,0.5,1,OTREG,0.005,SDMu-HS4,0.4654356060606061
Ang,Right,HTL,PTT,0,0.5,1,OTREG,0.005,SDMu-HSsrc,0.46732954545454547
Ang,Right,HTL,PTT,0,0.5,1,OTREG,0.005,SDMu-PCA,0.4521780303030303
Ang,Right,HTL,PTT,0,0.5,1,OTREG,0.005,COT-c,0.5201704545454545
Ang,Right,HTL,PTT,0,0.5,1,OTREG,0.005,SDM-HS4,0.4830492424242424
Ang,Right,HTL,PTT,0,0.5,1,OTREG,0.005,SDM-HSsrc,0.48967803030303025
Ang,Right,HTL,PTT,0,0.5,1,OTREG,0.005,SDM-PCA,0.4927083333333333
Ang,Right,HTL,PTT,0,0.5,1,OTREG,0.01,COT-u,0.4856060606060606
Ang,Right,HTL,PTT,0,0.5,1,OTREG,0.01,SDMu-HS4,0.46013257575757577
Ang,Right,HTL,PTT,0,0.5,1,OTREG,0.01,SDMu-HSsrc,0.46922348484848486
Ang,Right,HTL,PTT,0,0.5,1,OTREG,0.01,SDMu-PCA,0.4734848484848485
Ang,Right,HTL,PTT,0,0.5,1,OTREG,0.01,COT-c,0.5458333333333333
Ang,Right,HTL,PTT,0,0.5,1,OTREG,0.01,SDM-HS4,0.4839962121212121
Ang,Right,HTL,PTT,0,0.5,1,OTREG,0.01,SDM-HSsrc,0.48295454545454547
Ang,Right,HTL,PTT,0,0.5,1,OTREG,0.01,SDM-PCA,0.46534090909090914
Ang,Right,HTL,PTT,0,0.5,1,OTREG,0.05,COT-u,0.4925189393939394
Ang,Right,HTL,PTT,0,0.5,1,OTREG,0.05,SDMu-HS4,0.4857007575757576
Ang,Right,HTL,PTT,0,0.5,1,OTREG,0.05,SDMu-HSsrc,0.46732954545454547
Ang,Right,HTL,PTT,0,0.5,1,OTREG,0.05,SDMu-PCA,0.4510416666666667
Ang,Right,HTL,PTT,0,0.5,1,OTREG,0.05,COT-c,0.471969696969697
Ang,Right,HTL,PTT,0,0.5,1,OTREG,0.05,SDM-HS4,0.48352272727272727
Ang,Right,HTL,PTT,0,0.5,1,OTREG,0.05,SDM-HSsrc,0.4824810606060606
Ang,Right,HTL,PTT,0,0.5,1,OTREG,0.05,SDM-PCA,0.5121212121212121
Ang,Right,HTL,PTT,0,0.5,1,OTREG,0.1,COT-u,0.484469696969697
Ang,Right,HTL,PTT,0,0.5,1,OTREG,0.1,SDMu-HS4,0.48333333333333334
Ang,Right,HTL,PTT,0,0.5,1,OTREG,0.1,SDMu-HSsrc,0.4747159090909091
Ang,Right,HTL,PTT,0,0.5,1,OTREG,0.1,SDMu-PCA,0.45
Ang,Right,HTL,PTT,0,0.5,1,OTREG,0.1,COT-c,0.5017992424242425
Ang,Right,HTL,PTT,0,0.5,1,OTREG,0.1,SDM-HS4,0.4897727272727273
Ang,Right,HTL,PTT,0,0.5,1,OTREG,0.1,SDM-HSsrc,0.4824810606060606
Ang,Right,HTL,PTT,0,0.5,1,OTREG,0.1,SDM-PCA,0.4577651515151515
Ang,Right,HTL,PTT,0,0.5,1,OTREG,0.5,COT-u,0.478030303030303
Ang,Right,HTL,PTT,0,0.5,1,OTREG,0.5,SDMu-HS4,0.47755681818181817
Ang,Right,HTL,PTT,0,0.5,1,OTREG,0.5,SDMu-HSsrc,0.4728219696969697
Ang,Right,HTL,PTT,0,0.5,1,OTREG,0.5,SDMu-PCA,0.4095643939393939
Ang,Right,HTL,PTT,0,0.5,1,OTREG,0.5,COT-c,0.509469696969697
Ang,Right,HTL,PTT,0,0.5,1,OTREG,0.5,SDM-HS4,0.6835227272727273
Ang,Right,HTL,PTT,0,0.5,1,OTREG,0.5,SDM-HSsrc,0.5546401515151516
Ang,Right,HTL,PTT,0,0.5,1,OTREG,0.5,SDM-PCA,0.4921401515151515
Ang,Right,HTL,PTT,1,0.05,1,EPS,1e-12,QOTu-HS4,0.59427837426525
Ang,Right,HTL,PTT,1,0.05,1,EPS,1e-12,QOTu-HSsrc,0.6027184005138014
Ang,Right,HTL,PTT,1,0.05,1,EPS,1e-12,QOTu-PCA,0.6000237353922623
Ang,Right,HTL,PTT,1,0.05,1,EPS,1e-12,QOTc-HS4,0.5041885986345168
Ang,Right,HTL,PTT,1,0.05,1,EPS,1e-12,QOTc-HSsrc,0.3553048601706156
Ang,Right,HTL,PTT,1,0.05,1,EPS,1e-12,QOTc-PCA,0.4920277005989696
Ang,Right,HTL,PTT,1,0.05,1,EPS,1e-12,none-HS4,0.5004258408611759
Ang,Right,HTL,PTT,1,0.05,1,EPS,1e-12,none-HSsrc,0.501361294556218
Ang,Right,HTL,PTT,1,0.05,1,EPS,1e-12,none-PCA,0.46957681191795936
