Side,Arc,Enc,Source,Target,Rot,AdaptFrac,ArcOK,nEval,nEvalPos,nArc,nArcPos,Method,Uses,K,BAC,Precision,Recall
Left,contig,Ang,HTL,PTT,1,0.3,1,1136,76,682,42,SDM-Ang-HSsrc,arc labels,,0.4765392254220457,0.05405405405405406,0.18421052631578946
Left,contig,Ang,HTL,PTT,1,0.3,1,1136,76,682,42,SDM-Ang-PCA,arc labels,64.0,0.45042204568023836,0.050119331742243436,0.27631578947368424
Left,contig,Ang,HTL,PTT,1,0.5,1,1136,76,1112,63,NoAdapt,nothing,,0.49285004965243295,0.06395348837209303,0.2894736842105263
Left,contig,Ang,HTL,PTT,1,0.5,1,1136,76,1112,63,TargetOnly,arc labels,,0.46037735849056605,0.051630434782608696,0.25
Left,contig,Ang,HTL,PTT,1,0.5,1,1136,76,1112,63,Source+Target,arc labels,,0.5040714995034756,0.07291666666666667,0.09210526315789473
Left,contig,Ang,HTL,PTT,1,0.5,1,1136,76,1112,63,COT,arc labels,,0.5067279046673288,0.06889352818371608,0.4342105263157895
Left,contig,Ang,HTL,PTT,1,0.5,1,1136,76,1112,63,none-Ang-HS4,arc labels,,0.4566782522343595,0.04833836858006042,0.21052631578947367
Left,contig,Ang,HTL,PTT,1,0.5,1,1136,76,1112,63,none-Ang-HSsrc,nothing,,0.49143495531281034,0.047619047619047616,0.039473684210526314
Left,contig,Ang,HTL,PTT,1,0.5,1,1136,76,1112,63,none-Ang-PCA,arc segments,8.0,0.4707547169811321,0.05491329479768786,0.25
Left,contig,Ang,HTL,PTT,1,0.5,1,1136,76,1112,63,QOTu-Ang-HS4,arc labels,,0.4950595829195631,0.06206896551724138,0.11842105263157894
Left,contig,Ang,HTL,PTT,1,0.5,1,1136,76,1112,63,QOTu-Ang-HSsrc,arc segments,,0.4848311817279047,0.03896103896103896,0.039473684210526314
Left,contig,Ang,HTL,PTT,1,0.5,1,1136,76,1112,63,QOTu-Ang-PCA,arc segments,64.0,0.5424280039721946,0.09569377990430622,0.2631578947368421
Left,contig,Ang,HTL,PTT,1,0.5,1,1136,76,1112,63,QOTc-Ang-HS4,arc labels,,0.501713008937438,0.06930693069306931,0.09210526315789473
Left,contig,Ang,HTL,PTT,1,0.5,1,1136,76,1112,63,QOTc-Ang-HSsrc,arc labels,,0.4984359483614697,0.06451612903225806,0.07894736842105263
Left,contig,Ang,HTL,PTT,1,0.5,1,1136,76,1112,63,QOTc-Ang-PCA,arc labels,64.0,0.47775571002979145,0.05851063829787234,0.2894736842105263
Left,contig,Ang,HTL,PTT,1,0.5,1,1136,76,1112,63,SDM-Ang-HS4,arc labels,,0.4621896722939424,0.05378973105134474,0.2894736842105263
Left,contig,Ang,HTL,PTT,1,0.5,1,1136,76,1112,63,SDM-Ang-HSsrc,arc labels,,0.42157398212512415,0.045714285714285714,0.3157894736842105
Left,contig,Ang,HTL,PTT,1,0.5,1,1136,76,1112,63,SDM-Ang-PCA,arc labels,64.0,0.44667328699106257,0.04854368932038835,0.2631578947368421
Left,contig,Ang,HTL,PTT,2,0.05,0,1136,82,114,0,NoAdapt,nothing,,0.48092053501180176,0.06376811594202898,0.2682926829268293
Left,contig,Ang,HTL,PTT,2,0.05,0,1136,82,114,0,TargetOnly,arc labels,,,,
Left,contig,Ang,HTL,PTT,2,0.05,0,1136,82,114,0,Source+Target,arc labels,,,,
Left,contig,Ang,HTL,PTT,2,0.05,0,1136,82,114,0,COT,arc labels,,,,
Left,contig,Ang,HTL,PTT,2,0.05,0,1136,82,114,0,none-Ang-HS4,arc labels,,,,
Left,contig,Ang,HTL,PTT,2,0.05,0,1136,82,114,0,none-Ang-HSsrc,nothing,,0.4922016013329014,0.05172413793103448,0.036585365853658534
Left,contig,Ang,HTL,PTT,2,0.05,0,1136,82,114,0,none-Ang-PCA,arc segments,16.0,0.46005924006109133,0.05136986301369863,0.18292682926829268
Left,contig,Ang,HTL,PTT,2,0.05,0,1136,82,114,0,QOTu-Ang-HS4,arc labels,,,,
Left,contig,Ang,HTL,PTT,2,0.05,0,1136,82,114,0,QOTu-Ang-HSsrc,arc segments,,0.5167885407506827,0.09401709401709402,0.13414634146341464
Left,contig,Ang,HTL,PTT,2,0.05,0,1136,82,114,0,QOTu-Ang-PCA,arc segments,16.0,0.4963090665062248,0.07011070110701106,0.23170731707317074
Left,contig,Ang,HTL,PTT,2,0.05,0,1136,82,114,0,QOTc-Ang-HS4,arc labels,,,,
Left,contig,Ang,HTL,PTT,2,0.05,0,1136,82,114,0,QOTc-Ang-HSsrc,arc labels,,,,
Left,contig,Ang,HTL,PTT,2,0.05,0,1136,82,114,0,QOTc-Ang-PCA,arc labels,,,,
Left,contig,Ang,HTL,PTT,2,0.05,0,1136,82,114,0,SDM-Ang-HS4,arc labels,,,,
Left,contig,Ang,HTL,PTT,2,0.05,0,1136,82,114,0,SDM-Ang-HSsrc,arc labels,,,,
Left,contig,Ang,HTL,PTT,2,0.05,0,1136,82,114,0,SDM-Ang-PCA,arc labels,,,,
Left,contig,Ang,HTL,PTT,2,0.1,1,1136,82,227,4,NoAdapt,nothing,,0.48092053501180176,0.06376811594202898,0.2682926829268293
