Enc,Side,Source,Target,Rot,AdaptFrac,kind,Method,BAC
Ang,Right,HTL,PTT,0,0.5,arcperm,QOTu-Ang-PCA,0.5137310606060606
Ang,Right,HTL,PTT,0,0.5,arcperm,QOTc-Ang-HS4,0.4902462121212121
Ang,Right,HTL,PTT,0,0.5,arcperm,QOTc-Ang-HSsrc,0.48285984848484853
Ang,Right,HTL,PTT,0,0.5,arcperm,QOTc-Ang-PCA,0.4959280303030303
Ang,Right,HTL,PTT,0,0.5,arcperm,SDM-Ang-HS4,0.4697916666666667
Ang,Right,HTL,PTT,0,0.5,arcperm,SDM-Ang-HSsrc,0.4625
Ang,Right,HTL,PTT,0,0.5,arcperm,SDM-Ang-PCA,0.40946969696969693
Ang,Right,HTL,PTT,0,0.5,arcperm,COT-u,0.4925189393939394
Ang,Right,HTL,PTT,0,0.5,arcperm,SDMu-HS4,0.46534090909090914
Ang,Right,HTL,PTT,0,0.5,arcperm,SDMu-HSsrc,0.46732954545454547
Ang,Right,HTL,PTT,0,0.5,arcperm,SDMu-PCA,0.4510416666666667
Ang,Right,HTL,PTT,1,0.05,real,NoAdapt,0.5045934965025202
Ang,Right,HTL,PTT,1,0.05,real,TargetOnly,0.4096868324420926
Ang,Right,HTL,PTT,1,0.05,real,Source+Target,0.4943663348365749
Ang,Right,HTL,PTT,1,0.05,real,COT,0.46071792580595616
Ang,Right,HTL,PTT,1,0.05,real,none-Ang-HS4,0.5004258408611759
Ang,Right,HTL,PTT,1,0.05,real,none-Ang-HSsrc,0.501361294556218
Ang,Right,HTL,PTT,1,0.05,real,none-Ang-PCA,0.46957681191795936
Ang,Right,HTL,PTT,1,0.05,real,QOTu-Ang-HS4,0.59427837426525
Ang,Right,HTL,PTT,1,0.05,real,QOTu-Ang-HSsrc,0.6027184005138014
Ang,Right,HTL,PTT,1,0.05,real,QOTu-Ang-PCA,0.6000237353922623
Ang,Right,HTL,PTT,1,0.05,real,QOTc-Ang-HS4,0.5041885986345168
Ang,Right,HTL,PTT,1,0.05,real,QOTc-Ang-HSsrc,0.3553048601706156
Ang,Right,HTL,PTT,1,0.05,real,QOTc-Ang-PCA,0.4920277005989696
Ang,Right,HTL,PTT,1,0.05,real,SDM-Ang-HS4,0.5041885986345168
Ang,Right,HTL,PTT,1,0.05,real,SDM-Ang-HSsrc,0.36376582941233965
Ang,Right,HTL,PTT,1,0.05,real,SDM-Ang-PCA,0.4882858858188012
Ang,Right,HTL,PTT,1,0.05,real,COT-u,0.47726289041229775
Ang,Right,HTL,PTT,1,0.05,real,SDMu-HS4,0.4455761417421778
Ang,Right,HTL,PTT,1,0.05,real,SDMu-HSsrc,0.5518618320930427
Ang,Right,HTL,PTT,1,0.05,real,SDMu-PCA,0.6601440877930274
Ang,Right,HTL,PTT,1,0.05,srcperm,NoAdapt,0.7073216704131354
Ang,Right,HTL,PTT,1,0.05,srcperm,TargetOnly,0.4096868324420926
Ang,Right,HTL,PTT,1,0.05,srcperm,Source+Target,0.7009200955000489
Ang,Right,HTL,PTT,1,0.05,srcperm,COT,0.458379291568351
Ang,Right,HTL,PTT,1,0.05,srcperm,none-Ang-HS4,0.7424430699635591
Ang,Right,HTL,PTT,1,0.05,srcperm,none-Ang-HSsrc,0.6506848358767434
Ang,Right,HTL,PTT,1,0.05,srcperm,none-Ang-PCA,0.6610376555017243
Ang,Right,HTL,PTT,1,0.05,srcperm,QOTu-Ang-HS4,0.5702846850871927
Ang,Right,HTL,PTT,1,0.05,srcperm,QOTu-Ang-HSsrc,0.5720927634977591
Ang,Right,HTL,PTT,1,0.05,srcperm,QOTu-Ang-PCA,0.6039191321223629
Ang,Right,HTL,PTT,1,0.05,srcperm,QOTc-Ang-HS4,0.5041885986345168
Ang,Right,HTL,PTT,1,0.05,srcperm,QOTc-Ang-HSsrc,0.4962162992334864
Ang,Right,HTL,PTT,1,0.05,srcperm,QOTc-Ang-PCA,0.49483406168409594
Ang,Right,HTL,PTT,1,0.05,srcperm,SDM-Ang-HS4,0.5041885986345168
Ang,Right,HTL,PTT,1,0.05,srcperm,SDM-Ang-HSsrc,0.5004258408611759
Ang,Right,HTL,PTT,1,0.05,srcperm,SDM-Ang-PCA,0.47378635354564874
