Side,alpha,Source,Target,Rot,AdaptFrac,Method,BAC
Right,0.01,PTT,HTL,2,0.05,QOTu-HSsrc,0.53020560450901
Right,0.01,PTT,HTL,2,0.05,none-HSsrc,0.498769548305152
Right,0.01,PTT,HTL,2,0.5,QOTu-HSsrc,0.5125029768992617
Right,0.01,PTT,HTL,2,0.5,none-HSsrc,0.498769548305152
Right,0.01,PTT,HTL,3,0.05,QOTu-HSsrc,0.5592520382842964
Right,0.01,PTT,HTL,3,0.05,none-HSsrc,0.5477135767458348
Right,0.01,PTT,HTL,3,0.5,QOTu-HSsrc,0.5569833392414039
Right,0.01,PTT,HTL,3,0.5,none-HSsrc,0.5477135767458348
Right,0.01,PTT,HTL,4,0.05,QOTu-HSsrc,0.548825910931174
Right,0.01,PTT,HTL,4,0.05,none-HSsrc,0.5015182186234818
Right,0.01,PTT,HTL,4,0.5,QOTu-HSsrc,0.5427327935222672
Right,0.01,PTT,HTL,4,0.5,none-HSsrc,0.5015182186234818
Right,0.01,PTT,HTL,5,0.05,QOTu-HSsrc,0.5588954056695992
Right,0.01,PTT,HTL,5,0.05,none-HSsrc,0.5190092165898618
Right,0.01,PTT,HTL,5,0.5,QOTu-HSsrc,0.554531490015361
Right,0.01,PTT,HTL,5,0.5,none-HSsrc,0.5190092165898618
Right,0.01,PTT,HTL,6,0.05,QOTu-HSsrc,0.5680137638187276
Right,0.01,PTT,HTL,6,0.05,none-HSsrc,0.5109817702613662
Right,0.01,PTT,HTL,6,0.5,QOTu-HSsrc,0.5703748444249213
Right,0.01,PTT,HTL,6,0.5,none-HSsrc,0.5109817702613662
Right,0.01,PTT,HTL,7,0.05,QOTu-HSsrc,0.624530569325522
Right,0.01,PTT,HTL,7,0.05,none-HSsrc,0.5056143908667567
Right,0.01,PTT,HTL,7,0.5,QOTu-HSsrc,0.6301261829652998
Right,0.01,PTT,HTL,7,0.5,none-HSsrc,0.5056143908667567
Right,0.01,PTT,RTT,0,0.05,QOTu-HSsrc,0.562164040304944
Right,0.01,PTT,RTT,0,0.05,none-HSsrc,0.5266315122529482
Right,0.01,PTT,RTT,0,0.5,QOTu-HSsrc,0.5244190324360782
Right,0.01,PTT,RTT,0,0.5,none-HSsrc,0.5266315122529482
Right,0.01,PTT,RTT,1,0.05,QOTu-HSsrc,0.7151402640264026
Right,0.01,PTT,RTT,1,0.05,none-HSsrc,0.4735973597359736
Right,0.01,PTT,RTT,1,0.5,QOTu-HSsrc,0.6811645450259312
Right,0.01,PTT,RTT,1,0.5,none-HSsrc,0.4735973597359736
Right,0.01,PTT,RTT,2,0.05,QOTu-HSsrc,0.7944339770764641
Right,0.01,PTT,RTT,2,0.05,none-HSsrc,0.45619406500235515
Right,0.01,PTT,RTT,2,0.5,QOTu-HSsrc,0.8097425027476841
Right,0.01,PTT,RTT,2,0.5,none-HSsrc,0.45619406500235515
Right,0.01,PTT,RTT,3,0.05,QOTu-HSsrc,0.781951640759931
Right,0.01,PTT,RTT,3,0.05,none-HSsrc,0.45619406500235515
Right,0.01,PTT,RTT,3,0.5,QOTu-HSsrc,0.8066807976134401
Right,0.01,PTT,RTT,3,0.5,none-HSsrc,0.45619406500235515
Right,0.01,PTT,RTT,4,0.05,QOTu-HSsrc,0.5731116197657197
Right,0.01,PTT,RTT,4,0.05,none-HSsrc,0.45617342130065974
Right,0.01,PTT,RTT,4,0.5,QOTu-HSsrc,0.7393294735424801
Right,0.01,PTT,RTT,4,0.5,none-HSsrc,0.45617342130065974
Right,0.01,PTT,RTT,5,0.05,QOTu-HSsrc,0.5984920395219399
Right,0.01,PTT,RTT,5,0.05,none-HSsrc,0.45752254390128144
Right,0.01,PTT,RTT,5,0.5,QOTu-HSsrc,0.5816757992837727
Right,0.01,PTT,RTT,5,0.5,none-HSsrc,0.45752254390128144
Right,0.01,PTT,RTT,6,0.05,QOTu-HSsrc,0.5912466558012239
Right,0.01,PTT,RTT,6,0.05,none-HSsrc,0.4582936129647283
Right,0.01,PTT,RTT,6,0.5,QOTu-HSsrc,0.4717319105753559
Right,0.01,PTT,RTT,6,0.5,none-HSsrc,0.4582936129647283
Right,0.01,PTT,RTT,7,0.05,QOTu-HSsrc,0.5112839405103016
Right,0.01,PTT,RTT,7,0.05,none-HSsrc,0.4582139446036294
Right,0.01,PTT,RTT,7,0.5,QOTu-HSsrc,0.4694705962614272
Right,0.01,PTT,RTT,7,0.5,none-HSsrc,0.4582139446036294
Right,0.01,PTT,WRM,0,0.05,QOTu-HSsrc,0.506171218487395
Right,0.01,PTT,WRM,0,0.05,none-HSsrc,0.506171218487395
Right,0.01,PTT,WRM,0,0.5,QOTu-HSsrc,0.506171218487395
Right,0.01,PTT,WRM,0,0.5,none-HSsrc,0.506171218487395
Right,0.01,PTT,WRM,1,0.05,QOTu-HSsrc,0.6608545904638898
Right,0.01,PTT,WRM,1,0.05,none-HSsrc,0.49284253578732107
Right,0.01,PTT,WRM,1,0.5,QOTu-HSsrc,0.4948875255623722
Right,0.01,PTT,WRM,1,0.5,none-HSsrc,0.49284253578732107
Right,0.01,PTT,WRM,2,0.05,QOTu-HSsrc,0.6715419501133787
Right,0.01,PTT,WRM,2,0.05,none-HSsrc,0.4846938775510204
Right,0.01,PTT,WRM,2,0.5,QOTu-HSsrc,0.4857142857142857
Right,0.01,PTT,WRM,2,0.5,none-HSsrc,0.4846938775510204
Right,0.01,PTT,WRM,3,0.05,QOTu-HSsrc,0.6027550260610574
Right,0.01,PTT,WRM,3,0.05,none-HSsrc,0.6017001737403822
Right,0.01,PTT,WRM,3,0.5,QOTu-HSsrc,0.6006453214197072
Right,0.01,PTT,WRM,3,0.5,none-HSsrc,0.6017001737403822
Right,0.01,PTT,WRM,4,0.05,QOTu-HSsrc,0.6729254201680672
Right,0.01,PTT,WRM,4,0.05,none-HSsrc,0.6130514705882353
Right,0.01,PTT,WRM,4,0.5,QOTu-HSsrc,0.6130514705882353
