Enc,Side,Arc,Source,Target,Rot,AdaptFrac,nEval,nEvalPos,nArc,Method,Uses,BAC,Precision,Recall
Ang,Right,contig,HTL,PTT,3,0.2,1136,53,454,SDMu-PCA,arc segments,0.44140141814317324,0.03278688524590164,0.2641509433962264
Ang,Right,contig,HTL,PTT,3,0.3,1136,53,682,COT-u,arc segments,0.4474032648652415,0.033816425120772944,0.2641509433962264
Ang,Right,contig,HTL,PTT,3,0.3,1136,53,682,SDMu-HS4,arc labels,0.42871827035314203,0.02120141342756184,0.11320754716981132
Ang,Right,contig,HTL,PTT,3,0.3,1136,53,682,SDMu-HSsrc,arc segments,0.4111134340319518,0.02197802197802198,0.1509433962264151
Ang,Right,contig,HTL,PTT,3,0.3,1136,53,682,SDMu-PCA,arc segments,0.45208104670813076,0.0332409972299169,0.22641509433962265
Ang,Right,contig,HTL,PTT,3,0.5,1136,53,1112,COT-u,arc segments,0.44806529730483113,0.03456221198156682,0.2830188679245283
Ang,Right,contig,HTL,PTT,3,0.5,1136,53,1112,SDMu-HS4,arc labels,0.4642676701684698,0.02912621359223301,0.11320754716981132
Ang,Right,contig,HTL,PTT,3,0.5,1136,53,1112,SDMu-HSsrc,arc segments,0.4210090768131849,0.024725274725274724,0.16981132075471697
Ang,Right,contig,HTL,PTT,3,0.5,1136,53,1112,SDMu-PCA,arc segments,0.420869701562745,0.02,0.11320754716981132
Ang,Right,contig,HTL,PTT,4,0.05,1136,51,114,COT-u,arc segments,0.52154151983374,0.056818181818181816,0.19607843137254902
Ang,Right,contig,HTL,PTT,4,0.05,1136,51,114,SDMu-HS4,arc labels,0.47432005060088556,0.01282051282051282,0.0196078431372549
Ang,Right,contig,HTL,PTT,4,0.05,1136,51,114,SDMu-HSsrc,arc segments,0.4064967922652932,0.0136986301369863,0.0784313725490196
Ang,Right,contig,HTL,PTT,4,0.05,1136,51,114,SDMu-PCA,arc segments,0.42912261678865093,0.024096385542168676,0.1568627450980392
Ang,Right,contig,HTL,PTT,4,0.1,1136,51,227,COT-u,arc segments,0.5631426764254088,0.10185185185185185,0.21568627450980393
Ang,Right,contig,HTL,PTT,4,0.1,1136,51,227,SDMu-HS4,arc labels,0.4498147646155236,0.020202020202020204,0.0784313725490196
Ang,Right,contig,HTL,PTT,4,0.1,1136,51,227,SDMu-HSsrc,arc segments,0.3852986355832656,0.011834319526627219,0.0784313725490196
Ang,Right,contig,HTL,PTT,4,0.1,1136,51,227,SDMu-PCA,arc segments,0.48148549742477637,0.028037383177570093,0.058823529411764705
Ang,Right,contig,HTL,PTT,4,0.2,1136,51,454,COT-u,arc segments,0.4977048884069757,0.044,0.21568627450980393
Ang,Right,contig,HTL,PTT,4,0.2,1136,51,454,SDMu-HS4,arc labels,0.44139333152615884,0.015463917525773196,0.058823529411764705
Ang,Right,contig,HTL,PTT,4,0.2,1136,51,454,SDMu-HSsrc,arc segments,0.4337760910815939,0.029197080291970802,0.23529411764705882
Ang,Right,contig,HTL,PTT,4,0.2,1136,51,454,SDMu-PCA,arc segments,0.48124152886961236,0.03896103896103896,0.23529411764705882
Ang,Right,contig,HTL,PTT,4,0.3,1136,51,682,COT-u,arc segments,0.48379868076262766,0.040345821325648415,0.27450980392156865
Ang,Right,contig,HTL,PTT,4,0.3,1136,51,682,SDMu-HS4,arc labels,0.4610011746634137,0.025510204081632654,0.09803921568627451
Ang,Right,contig,HTL,PTT,4,0.3,1136,51,682,SDMu-HSsrc,arc segments,0.43147194361615615,0.028846153846153848,0.23529411764705882
Ang,Right,contig,HTL,PTT,4,0.3,1136,51,682,SDMu-PCA,arc segments,0.47118460287340747,0.034220532319391636,0.17647058823529413
Ang,Right,contig,HTL,PTT,4,0.5,1136,51,1114,COT-u,arc segments,0.5095238095238095,0.04748603351955307,0.3333333333333333
Ang,Right,contig,HTL,PTT,4,0.5,1136,51,1114,SDMu-HS4,arc labels,0.45718803650492457,0.02197802197802198,0.0784313725490196
Ang,Right,contig,HTL,PTT,4,0.5,1136,51,1114,SDMu-HSsrc,arc segments,0.4166802204752869,0.022284122562674095,0.1568627450980392
Ang,Right,contig,HTL,PTT,4,0.5,1136,51,1114,SDMu-PCA,arc segments,0.36975693503207735,0.012690355329949238,0.09803921568627451
Ang,Right,contig,HTL,PTT,5,0.05,1136,19,114,COT-u,arc segments,0.47867879187673745,0.013215859030837005,0.15789473684210525
Ang,Right,contig,HTL,PTT,5,0.05,1136,19,114,SDMu-HS4,arc labels,0.41700042406822785,0.006557377049180328,0.10526315789473684
Ang,Right,contig,HTL,PTT,5,0.05,1136,19,114,SDMu-HSsrc,arc segments,0.42995806436413325,0.01217391304347826,0.3684210526315789
Ang,Right,contig,HTL,PTT,5,0.05,1136,19,114,SDMu-PCA,arc segments,0.38239174480516425,0.0125,0.6842105263157895
Ang,Right,contig,HTL,PTT,5,0.1,1136,19,227,COT-u,arc segments,0.5134052678697639,0.01858736059479554,0.2631578947368421
Ang,Right,contig,HTL,PTT,5,0.1,1136,19,227,SDMu-HS4,arc labels,0.41789567921594495,0.006600660066006601,0.10526315789473684
Ang,Right,contig,HTL,PTT,5,0.1,1136,19,227,SDMu-HSsrc,arc segments,0.43040569193799183,0.012195121951219513,0.3684210526315789
Ang,Right,contig,HTL,PTT,5,0.1,1136,19,227,SDMu-PCA,arc segments,0.385265985016256,0.012035010940919038,0.5789473684210527
Ang,Right,contig,HTL,PTT,5,0.2,1136,19,454,COT-u,arc segments,0.5134052678697639,0.01858736059479554,0.2631578947368421
Ang,Right,contig,HTL,PTT,5,0.2,1136,19,454,SDMu-HS4,arc labels,0.3865617490458465,0.005361930294906166,0.10526315789473684
Ang,Right,contig,HTL,PTT,5,0.2,1136,19,454,SDMu-HSsrc,arc segments,0.43040569193799183,0.012195121951219513,0.3684210526315789
Ang,Right,contig,HTL,PTT,5,0.2,1136,19,454,SDMu-PCA,arc segments,0.3141167601187391,0.007751937984496124,0.3157894736842105
Ang,Right,contig,HTL,PTT,5,0.3,1136,19,682,COT-u,arc segments,0.5134052678697639,0.01858736059479554,0.2631578947368421
Ang,Right,contig,HTL,PTT,5,0.3,1136,19,682,SDMu-HS4,arc labels,0.3919332799321491,0.00554016620498615,0.10526315789473684
Ang,Right,contig,HTL,PTT,5,0.3,1136,19,682,SDMu-HSsrc,arc segments,0.4680064081421099,0.014285714285714285,0.3684210526315789
Ang,Right,contig,HTL,PTT,5,0.3,1136,19,682,SDMu-PCA,arc segments,0.4759459077416011,0.015643802647412757,0.6842105263157895
Ang,Right,contig,HTL,PTT,5,0.5,1136,19,1112,COT-u,arc segments,0.5306035904443293,0.02702702702702703,0.15789473684210525
Ang,Right,contig,HTL,PTT,5,0.5,1136,19,1112,SDMu-HS4,arc labels,0.44341045092588227,0.008130081300813009,0.10526315789473684
Ang,Right,contig,HTL,PTT,5,0.5,1136,19,1112,SDMu-HSsrc,arc segments,0.43686095273995196,0.011363636363636364,0.2631578947368421
Ang,Right,contig,HTL,PTT,5,0.5,1136,19,1112,SDMu-PCA,arc segments,0.42694246807708613,0.004484304932735426,0.05263157894736842
Ang,Right,contig,HTL,PTT,6,0.05,1136,36,114,COT-u,arc segments,0.5765656565656565,0.03987730061349693,0.7222222222222222
Ang,Right,contig,HTL,PTT,6,0.05,1136,36,114,SDMu-HSsrc,arc segments,0.5911616161616162,0.040995607613469986,0.7777777777777778
Ang,Right,contig,HTL,PTT,6,0.05,1136,36,114,SDMu-PCA,arc segments,0.37893939393939396,0.022604951560818085,0.5833333333333334
Ang,Right,contig,HTL,PTT,6,0.1,1136,36,227,COT-u,arc segments,0.6484343434343434,0.05026929982046679,0.7777777777777778
Ang,Right,contig,HTL,PTT,6,0.1,1136,36,227,SDMu-HS4,arc labels,0.5617676767676767,0.03828483920367534,0.6944444444444444
Ang,Right,contig,HTL,PTT,6,0.1,1136,36,227,SDMu-HSsrc,arc segments,0.551060606060606,0.037209302325581395,0.6666666666666666
Ang,Right,contig,HTL,PTT,6,0.1,1136,36,227,SDMu-PCA,arc segments,0.4897474747474747,0.03084223013048636,0.7222222222222222
Ang,Right,contig,HTL,PTT,6,0.2,1136,36,454,COT-u,arc segments,0.7531313131313131,0.10775862068965517,0.6944444444444444
Ang,Right,contig,HTL,PTT,6,0.2,1136,36,454,SDMu-HS4,arc labels,0.6628282828282829,0.06547619047619048,0.6111111111111112
Ang,Right,contig,HTL,PTT,6,0.2,1136,36,454,SDMu-HSsrc,arc segments,0.5637373737373738,0.039711191335740074,0.6111111111111112
Ang,Right,contig,HTL,PTT,6,0.2,1136,36,454,SDMu-PCA,arc segments,0.4954040404040404,0.03128911138923655,0.6944444444444444
Ang,Right,contig,HTL,PTT,6,0.3,1136,36,682,COT-u,arc segments,0.7402020202020202,0.08904109589041095,0.7222222222222222
Ang,Right,contig,HTL,PTT,6,0.3,1136,36,682,SDMu-HS4,arc labels,0.5632828282828284,0.03963963963963964,0.6111111111111112
Ang,Right,contig,HTL,PTT,6,0.3,1136,36,682,SDMu-HSsrc,arc segments,0.5714646464646465,0.040968342644320296,0.6111111111111112
Ang,Right,contig,HTL,PTT,6,0.3,1136,36,682,SDMu-PCA,arc segments,0.7373737373737375,0.12790697674418605,0.6111111111111112
Ang,Right,contig,HTL,PTT,6,0.5,1136,36,1112,COT-u,arc segments,0.7499494949494949,0.10460251046025104,0.6944444444444444
Ang,Right,contig,HTL,PTT,6,0.5,1136,36,1112,SDMu-HS4,arc labels,0.5669191919191919,0.04021937842778794,0.6111111111111112
Ang,Right,contig,HTL,PTT,6,0.5,1136,36,1112,SDMu-HSsrc,arc segments,0.5785353535353535,0.04159132007233273,0.6388888888888888
Ang,Right,contig,HTL,PTT,6,0.5,1136,36,1112,SDMu-PCA,arc segments,0.525,0.033877038895859475,0.75
Ang,Right,contig,HTL,PTT,7,0.05,1136,41,114,COT-u,arc segments,0.7580688272636151,0.08043478260869565,0.9024390243902439
Ang,Right,contig,HTL,PTT,7,0.05,1136,41,114,SDMu-HS4,arc labels,0.5973493707539815,0.08843537414965986,0.3170731707317073
Ang,Right,contig,HTL,PTT,7,0.05,1136,41,114,SDMu-HSsrc,arc segments,0.4450606971823143,0.03075030750307503,0.6097560975609756
Ang,Right,contig,HTL,PTT,7,0.05,1136,41,114,SDMu-PCA,arc segments,0.46852656197794856,0.028901734104046242,0.24390243902439024
Ang,Right,contig,HTL,PTT,7,0.1,1136,41,227,COT-u,arc segments,0.8005345806882727,0.1008174386920981,0.9024390243902439
Ang,Right,contig,HTL,PTT,7,0.1,1136,41,227,SDMu-HS4,arc labels,0.4361621561421094,0.026,0.3170731707317073
Ang,Right,contig,HTL,PTT,7,0.1,1136,41,227,SDMu-HSsrc,arc segments,0.4458402940193785,0.03098927294398093,0.6341463414634146
Ang,Right,contig,HTL,PTT,7,0.1,1136,41,227,SDMu-PCA,arc segments,0.6486022942421206,0.0945273631840796,0.4634146341463415
Ang,Right,contig,HTL,PTT,7,0.2,1136,41,454,COT-u,arc segments,0.8092103797750306,0.10632183908045977,0.9024390243902439
Ang,Right,contig,HTL,PTT,7,0.2,1136,41,454,SDMu-HS4,arc labels,0.5740728366187772,0.04484304932735426,0.7317073170731707
Ang,Right,contig,HTL,PTT,7,0.2,1136,41,454,SDMu-HSsrc,arc segments,0.5917474106247912,0.04711246200607903,0.7560975609756098
Ang,Right,contig,HTL,PTT,7,0.2,1136,41,454,SDMu-PCA,arc segments,0.73792181757434,0.08076009501187649,0.8292682926829268
Ang,Right,contig,HTL,PTT,7,0.3,1136,41,682,COT-u,arc segments,0.7959683706426106,0.09814323607427056,0.9024390243902439
Ang,Right,contig,HTL,PTT,7,0.3,1136,41,682,SDMu-HS4,arc labels,0.5324646397148903,0.03988183161004431,0.6585365853658537
Ang,Right,contig,HTL,PTT,7,0.3,1136,41,682,SDMu-HSsrc,arc segments,0.5669562312061477,0.043243243243243246,0.7804878048780488
Ang,Right,contig,HTL,PTT,7,0.3,1136,41,682,SDMu-PCA,arc segments,0.7807662323198574,0.0867579908675799,0.926829268292683
Ang,Right,contig,HTL,PTT,7,0.5,1136,41,1124,COT-u,arc segments,0.7589820692727476,0.08078602620087336,0.9024390243902439
Ang,Right,contig,HTL,PTT,7,0.5,1136,41,1124,SDMu-HS4,arc labels,0.4977614433678583,0.035856573705179286,0.6585365853658537
Ang,Right,contig,HTL,PTT,7,0.5,1136,41,1124,SDMu-HSsrc,arc segments,0.5218064372424546,0.03796095444685466,0.8536585365853658
Ang,Right,contig,HTL,PTT,7,0.5,1136,41,1124,SDMu-PCA,arc segments,0.6844971600400935,0.06319702602230483,0.8292682926829268
Ang,Right,contig,HTL,RTT,0,0.05,2129,47,213,COT-u,arc segments,0.5660422670509125,0.02535059331175836,1.0
Ang,Right,contig,HTL,RTT,0,0.05,2129,47,213,SDMu-HSsrc,arc segments,0.3962536023054755,0.0,0.0
Ang,Right,contig,HTL,RTT,0,0.05,2129,47,213,SDMu-PCA,arc segments,0.5191254317656917,0.023500810372771474,0.6170212765957447
Ang,Right,contig,HTL,RTT,0,0.1,2129,47,426,COT-u,arc segments,0.6962055715658021,0.035823170731707314,1.0
Ang,Right,contig,HTL,RTT,0,0.1,2129,47,426,SDMu-HSsrc,arc segments,0.44896478427044373,0.011389521640091117,0.10638297872340426
Ang,Right,contig,HTL,RTT,0,0.1,2129,47,426,SDMu-PCA,arc segments,0.39440390786273427,0.002061855670103093,0.02127659574468085
Ang,Right,contig,HTL,RTT,0,0.2,2129,47,852,COT-u,arc segments,0.745196926032661,0.042418772563176894,1.0
Ang,Right,contig,HTL,RTT,0,0.2,2129,47,852,SDMu-HS4,arc labels,0.6888629999795614,0.04380475594493116,0.7446808510638298
Ang,Right,contig,HTL,RTT,0,0.2,2129,47,852,SDMu-HSsrc,arc segments,0.7580017168434606,0.05873261205564142,0.8085106382978723
Ang,Right,contig,HTL,RTT,0,0.2,2129,47,852,SDMu-PCA,arc segments,0.6132656815255381,0.0344418052256532,0.6170212765957447
Ang,Right,contig,HTL,RTT,0,0.3,2129,47,1278,COT-u,arc segments,0.7896253602305475,0.050920910075839654,1.0
Ang,Right,contig,HTL,RTT,0,0.3,2129,47,1278,SDMu-HS4,arc labels,0.5869152001962107,0.027586206896551724,0.851063829787234
Ang,Right,contig,HTL,RTT,0,0.3,2129,47,1278,SDMu-HSsrc,arc segments,0.7391011098166657,0.05058365758754864,0.8297872340425532
Ang,Right,contig,HTL,RTT,0,0.3,2129,47,1278,SDMu-PCA,arc segments,0.6845146851431725,0.03987408184679958,0.8085106382978723
Ang,Right,contig,HTL,RTT,0,0.5,2129,47,2118,COT-u,arc segments,0.74447646493756,0.0423042304230423,1.0
Ang,Right,contig,HTL,RTT,0,0.5,2129,47,2118,SDMu-HS4,arc labels,0.539436303063748,0.024217365623154165,0.8723404255319149
Ang,Right,contig,HTL,RTT,0,0.5,2129,47,2118,SDMu-HSsrc,arc segments,0.7150857399799702,0.04477611940298507,0.8297872340425532
Ang,Right,contig,HTL,RTT,0,0.5,2129,47,2118,SDMu-PCA,arc segments,0.6665542542972183,0.042328042328042326,0.6808510638297872
Ang,Right,contig,HTL,RTT,1,0.05,2129,8,213,COT-u,arc segments,0.6529054691183405,0.007331378299120235,0.625
Ang,Right,contig,HTL,RTT,1,0.05,2129,8,213,SDMu-HSsrc,arc segments,0.518475954738331,0.004166666666666667,0.375
Ang,Right,contig,HTL,RTT,1,0.05,2129,8,213,SDMu-PCA,arc segments,0.4392385667138142,0.002531645569620253,0.25
Ang,Right,contig,HTL,RTT,1,0.1,2129,8,426,COT-u,arc segments,0.7267503536067892,0.00776914539400666,0.875
Ang,Right,contig,HTL,RTT,1,0.1,2129,8,426,SDMu-HS4,arc labels,0.4493752946723244,0.002677376171352075,0.25
Ang,Right,contig,HTL,RTT,1,0.1,2129,8,426,SDMu-HSsrc,arc segments,0.5271982555398397,0.004392386530014641,0.375
Ang,Right,contig,HTL,RTT,1,0.1,2129,8,426,SDMu-PCA,arc segments,0.5871051390853371,0.0057553956834532375,0.5
Ang,Right,contig,HTL,RTT,1,0.2,2129,8,852,COT-u,arc segments,0.8290900518623291,0.010914051841746248,1.0
Ang,Right,contig,HTL,RTT,1,0.2,2129,8,852,SDMu-HS4,arc labels,0.43643917963224893,0.0028089887640449437,0.375
Ang,Right,contig,HTL,RTT,1,0.2,2129,8,852,SDMu-HSsrc,arc segments,0.5149398868458275,0.004081632653061225,0.375
Ang,Right,contig,HTL,RTT,1,0.2,2129,8,852,SDMu-PCA,arc segments,0.5420792079207921,0.004514672686230248,0.5
